Date,LTZXZ,SLDZ,SSHN
00:02,23,4,9
00:03,29,2,7
00:04,22,2,10
00:05,19,2,7
00:06,21,5,3
00:07,23,1,10
00:08,20,1,8
00:09,16,1,6
00:10,20,3,4
00:11,24,3,6
00:13,29,1,14
00:14,18,3,8
00:15,28,4,6
00:16,15,3,10
00:18,22,3,5
00:19,27,1,7
00:20,21,4,9
00:21,16,1,9
00:22,25,1,8
00:23,28,3,6
00:24,24,1,4
00:25,25,1,8
00:26,18,3,8
00:29,13,1,7
00:30,15,1,3
00:31,17,2,6
00:32,16,3,9
00:33,12,1,6
00:34,22,1,6
00:35,27,3,9
00:36,12,3,8
00:37,15,5,5
00:38,22,3,14
00:39,21,3,7
00:40,14,2,9
00:41,20,2,8
00:42,17,1,11
00:43,20,2,11
00:45,20,2,8
00:46,24,3,12
00:47,17,2,7
00:48,27,1,4
00:49,21,2,5
00:50,21,1,1
00:51,16,1,10
00:52,25,4,4
00:53,28,1,9
00:54,16,2,4
00:55,18,3,6
00:56,21,3,6
00:57,13,1,3
00:58,18,2,7
00:59,14,2,6
01:00,16,2,5
01:01,15,1,10
01:02,17,1,4
01:05,12,2,7
01:06,11,2,7
01:08,22,1,7
01:09,15,1,5
01:10,13,1,10
01:11,13,2,4
01:12,16,2,6
01:14,9,1,8
01:15,18,1,9
01:16,19,1,1
01:17,17,1,4
01:18,18,3,4
01:19,14,1,4
01:21,12,2,5
01:22,11,1,4
01:23,11,5,4
01:25,22,1,6
01:27,17,4,1
01:29,13,1,10
01:31,15,2,7
01:32,22,3,5
01:33,17,3,6
01:36,15,2,8
01:37,9,1,5
01:38,19,1,6
01:39,15,2,11
01:40,13,1,7
01:41,10,2,6
01:42,12,1,9
01:43,15,2,8
01:44,14,2,5
01:46,18,1,3
01:48,22,1,4
01:49,9,1,6
01:50,11,2,5
01:51,10,3,7
01:52,9,1,4
01:53,10,1,10
01:54,16,2,9
01:55,14,1,8
02:00,15,2,7
02:01,13,1,11
02:02,5,1,3
02:04,13,1,5
02:05,10,2,7
02:10,10,2,3
02:11,17,2,7
02:12,8,1,4
02:13,12,1,4
02:15,9,1,10
02:17,13,2,6
02:22,17,1,7
02:23,12,1,4
02:26,16,1,4
02:27,8,1,5
02:37,4,1,6
02:45,10,1,2
02:46,6,1,2
02:48,9,2,3
02:50,13,1,5
02:55,15,1,2
03:00,9,1,6
03:01,8,1,2
03:02,13,2,6
03:06,12,1,5
03:09,8,1,4
03:11,13,1,3
03:14,7,1,4
03:15,12,1,3
03:16,10,1,1
03:17,14,1,4
03:19,8,1,6
03:21,11,1,2
03:26,12,1,7
03:38,14,1,4
03:41,13,1,2
03:42,13,1,2
03:46,8,1,4
03:53,11,1,2
03:55,11,1,1
03:56,17,2,1
03:57,14,2,3
03:59,12,2,3
04:05,11,1,5
04:06,11,1,2
04:11,10,1,5
04:33,8,1,3
04:38,14,1,1
04:41,11,1,3
04:43,18,1,1
04:45,10,1,6
04:48,13,1,5
04:49,17,2,5
04:51,18,1,3
04:55,17,1,2
04:57,16,2,1
04:58,22,1,4
05:06,17,1,3
05:11,11,1,5
05:13,17,1,7
05:14,12,1,2
05:15,14,1,6
05:19,19,1,6
06:49,20,6,5
06:50,14,2,3
07:11,34,4,14
07:12,31,4,26
07:13,27,6,14
07:14,40,8,18
07:15,42,7,20
07:16,28,4,17
07:17,37,5,14
07:18,28,7,16
07:19,24,3,6
07:20,44,9,13
07:21,40,1,22
07:22,40,7,21
