CLEAN_KKMC,Date,Count
G104-K744-省际卡口,2023-12-01,2679
G104-K873-省际卡口,2023-12-01,3643
G206-K816-省际卡口,2023-12-01,1810
G235-K10-市际卡口,2023-12-01,2065
G3-K731-省际卡口,2023-12-01,4428
G310-K310-省际卡口,2023-12-01,1532
G311-K207-省际卡口,2023-12-01,766
G518518-K358-省际卡口,2023-12-01,3103
S250-K1-省际卡口,2023-12-01,2962
S251-K5-省际卡口,2023-12-01,636
S252-K56-省际卡口,2023-12-01,1510
S253-K0-省际卡口,2023-12-01,1529
S323-K10-市际卡口,2023-12-01,745
S323-K96-市际卡口,2023-12-01,3468
S324-K201-市际卡口,2023-12-01,963
S325-K63-市际卡口,2023-12-01,4202
S505-K10-市际卡口,2023-12-01,1082
X308-K19-市际卡口,2023-12-01,935
G104-K744-省际卡口,2023-12-02,3060
G104-K873-省际卡口,2023-12-02,3673
G206-K816-省际卡口,2023-12-02,1867
G235-K10-市际卡口,2023-12-02,3136
G3-K731-省际卡口,2023-12-02,5055
G310-K310-省际卡口,2023-12-02,1792
G311-K207-省际卡口,2023-12-02,879
G518518-K358-省际卡口,2023-12-02,3528
S250-K1-省际卡口,2023-12-02,3307
S251-K5-省际卡口,2023-12-02,787
S252-K56-省际卡口,2023-12-02,2014
S253-K0-省际卡口,2023-12-02,1772
S323-K10-市际卡口,2023-12-02,885
S323-K96-市际卡口,2023-12-02,3779
S324-K201-市际卡口,2023-12-02,1275
S325-K63-市际卡口,2023-12-02,4457
S505-K10-市际卡口,2023-12-02,1266
X308-K19-市际卡口,2023-12-02,1073
G104-K744-省际卡口,2023-12-03,2957
G104-K873-省际卡口,2023-12-03,3460
G206-K816-省际卡口,2023-12-03,1792
G235-K10-市际卡口,2023-12-03,3125
G3-K731-省际卡口,2023-12-03,5273
G310-K310-省际卡口,2023-12-03,1725
G311-K207-省际卡口,2023-12-03,898
G518518-K358-省际卡口,2023-12-03,2286
S250-K1-省际卡口,2023-12-03,3334
S251-K5-省际卡口,2023-12-03,795
S252-K56-省际卡口,2023-12-03,2012
S253-K0-省际卡口,2023-12-03,1693
S323-K10-市际卡口,2023-12-03,907
S323-K96-市际卡口,2023-12-03,3624
S324-K201-市际卡口,2023-12-03,1292
S325-K63-市际卡口,2023-12-03,4312
S505-K10-市际卡口,2023-12-03,1208
X308-K19-市际卡口,2023-12-03,1070
G104-K744-省际卡口,2023-12-04,2940
G104-K873-省际卡口,2023-12-04,3897
G206-K816-省际卡口,2023-12-04,1986
G235-K10-市际卡口,2023-12-04,3321
G237-K148-省际卡口,2023-12-04,2
G3-K731-省际卡口,2023-12-04,5252
G310-K310-省际卡口,2023-12-04,1602
G311-K207-省际卡口,2023-12-04,841
G518518-K358-省际卡口,2023-12-04,3063
S250-K1-省际卡口,2023-12-04,3420
S251-K5-省际卡口,2023-12-04,699
S252-K56-省际卡口,2023-12-04,2175
S253-K0-省际卡口,2023-12-04,1699
S323-K10-市际卡口,2023-12-04,976
S323-K96-市际卡口,2023-12-04,3785
S324-K201-市际卡口,2023-12-04,1154
S325-K63-市际卡口,2023-12-04,4447
S505-K10-市际卡口,2023-12-04,1088
X308-K19-市际卡口,2023-12-04,976
G104-K744-省际卡口,2023-12-05,2351
G104-K873-省际卡口,2023-12-05,3054
G206-K816-省际卡口,2023-12-05,1662
G235-K10-市际卡口,2023-12-05,2256
G3-K731-省际卡口,2023-12-05,4417
G310-K310-省际卡口,2023-12-05,1292
G311-K207-省际卡口,2023-12-05,727
