CLEAN_KKMC	2023/12/1	2023/12/2	2023/12/3	2023/12/4	2023/12/5	2023/12/6	2023/12/7	2023/12/8	2023/12/9	2023/12/10	2023/12/11	2023/12/12	2023/12/13	2023/12/14	2023/12/15	2023/12/16	2023/12/17	2023/12/18	2023/12/19	2023/12/20	2023/12/21	2023/12/22	2023/12/23	2023/12/24	2023/12/25	2023/12/26	2023/12/27	2023/12/28	2023/12/29	2023/12/30	2023/12/31	2024/1/1	2024/1/2	2024/1/3	2024/1/4	2024/1/5	2024/1/6	2024/1/7	2024/1/8	2024/1/9	2024/1/10	2024/1/11	2024/1/12	2024/1/13	2024/1/14	2024/1/15	2024/1/16	2024/1/17	2024/1/18	2024/1/19	2024/1/20	2024/1/21	2024/1/22	2024/1/23	2024/1/24	2024/1/25	2024/1/26	2024/1/27	2024/1/28	2024/1/29	2024/1/30	2024/1/31
G104-K744-省际卡口	2679	3060	2957	2940	2351	2663	1952	1754	1310	1000	1660	759	1559	1839	648	1063	974	1660	759	1559	1839	923	703	684	1111	672	779	766	561	662	974	960	814	795	937	682	279	517	707	575	684	535	516	516	540	820	495	603	523	304	435	587	1067	1458	553	484	539	531	239	984	1056	551
G104-K873-省际卡口	3643	3673	3460	3897	3054	3602	3129	2680	1808	912	1841	1080	2777	3300	1019	1536	1288	1841	1080	2777	3300	1202	916	762	1466	886	1052	800	773	751	1288	759	1149	982	1173	788	142	740	923	554	844	617	538	538	527	1007	593	999	896	417	622	885	2002	2435	813	807	782	847	242	1602	1951	817
G206-K816-省际卡口	1810	1867	1792	1986	1662	1971	1713	1349	889	439	816	397	1136	1383	425	824	633	816	397	1136	1383	696	490	460	693	469	498	241	286	229	633	429	380	356	573	351	66	278	430	259	376	233	209	209	170	398	287	263	190	160	197	260	852	1078	347	264	267	246	72	731	797	517
G235-K10-市际卡口	2065	3136	3125	3321	2256	2882	1825	1610	1446	1344	1837	693	1700	1626	973	760	626	1837	693	1700	1626	622	554	591	713	759	709	957	880	837	626	1002	929	942	677	555	389	527	695	878	636	644	563	563	662	710	730	807	918	451	648	838	1153	1193	450	492	521	564	278	1050	1489	1003
G237-K148-省际卡口	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0	0	1	259	193
G3-K731-省际卡口	4428	5055	5273	5252	4417	5156	4161	3136	1588	1662	2726	1039	2771	2740	591	1351	1630	2726	1039	2771	2740	1768	1195	910	1614	1209	1105	355	506	648	1630	979	1094	964	1064	768	764	547	861	964	1007	884	720	720	920	1064	1146	906	912	457	671	1083	1177	1059	671	758	816	773	548	812	644	383
G310-K310-省际卡口	1532	1792	1725	1602	1292	1539	1357	1183	859	13	605	75	1935	2140	590	1427	1061	605	75	1935	2140	939	855	588	1067	669	625	536	485	430	1061	764	827	691	1065	672	102	657	868	699	833	560	611	611	576	1011	522	705	599	377	503	505	1423	2185	544	456	493	535	178	1357	2034	1205
G311-K207-省际卡口	766	879	898	841	727	402	315	1325	1012	818	1297	561	1448	1613	637	991	792	1297	561	1448	1613	1727	1343	1190	1445	1087	1378	1538	1218	1412	792	1565	1304	1261	1705	1390	688	921	1221	1123	1174	980	890	890	1133	1492	1089	1322	1133	538	1020	1195	1722	2133	905	940	954	1063	527	1554	2154	1397
G518518-K358-省际卡口	3103	3528	2286	3063	3041	3023	2598	1929	1007	463	1072	639	1729	1971	524	1243	287	1072	639	1729	1971	902	800	591	1103	687	315	272	255	300	287	536	555	395	502	208	364	399	467	216	473	129	159	159	389	564	72	256	508	292	415	639	1150	1492	499	446	597	643	333	1246	1414	432
S250-K1-省际卡口	2962	3307	3334	3420	3511	3512	3057	2395	1822	1884	1914	543	1274	1229	1336	1478	1466	1914	543	1274	1229	1503	1200	1100	1545	1500	1700	1349	1298	1283	1466	1141	1638	1441	1611	1358	1009	903	1485	1553	1679	2125	1296	1296	1374	1667	1892	1345	1410	850	1223	1433	1862	2116	1084	1130	1124	1037	600	1537	1600	582
S251-K5-省际卡口	636	787	795	699	722	668	546	465	333	284	320	117	419	396	238	281	270	320	117	419	396	284	185	169	261	201	208	173	198	163	270	220	235	206	214	159	88	176	221	176	219	285	153	153	149	206	319	163	178	110	140	177	383	441	196	163	162	203	108	422	413	299
S252-K56-省际卡口	1510	2014	2012	2175	1514	2084	1759	1340	1095	427	1078	487	1123	1028	293	548	420	1078	487	1123	1028	357	329	284	538	405	462	218	248	137	420	421	505	456	452	267	21	227	539	270	311	188	178	178	87	341	288	149	154	241	154	147	673	742	335	238	279	305	68	1191	960	639
S253-K0-省际卡口	1529	1772	1693	1699	1670	1651	1368	942	0	0	316	78	830	1013	431	533	390	316	78	830	1013	509	292	252	504	414	421	315	333	271	390	370	492	404	574	397	117	330	416	348	437	580	309	309	262	390	489	214	281	179	226	265	671	753	333	264	264	313	147	747	926	629
S323-K10-市际卡口	745	885	907	976	782	974	744	560	491	446	663	242	784	695	357	107	395	663	242	784	695	269	345	267	360	303	264	304	281	226	395	282	396	309	239	284	172	316	425	380	476	358	280	280	318	471	348	338	351	233	291	435	710	671	337	340	336	318	158	671	837	375
S323-K96-市际卡口	3468	3779	3624	3785	3713	4197	2628	1728	1654	488	1876	774	1945	1546	419	1769	157	1876	774	1945	1546	1652	831	649	1207	819	686	321	99	120	157	536	536	477	978	592	163	439	730	204	608	1591	439	439	141	599	1294	205	251	286	254	391	1346	1004	799	458	475	487	10	1586	930	451
S324-K201-市际卡口	963	1275	1292	1154	1106	1236	1059	888	543	191	459	229	610	593	170	459	45	459	229	610	593	260	179	154	289	182	196	74	18	55	45	153	162	132	49	153	40	141	148	50	201	474	115	115	37	139	395	46	58	64	64	104	385	244	170	99	75	88	0	219	284	115
S325-K63-市际卡口	4202	4457	4312	4447	4377	4550	3735	3155	1875	1605	2281	824	1019	26	764	1644	702	2281	824	1019	26	1693	1557	1420	1143	1523	1321	862	738	837	702	987	621	395	1537	827	207	963	1389	1241	1464	2323	1193	1193	1222	1575	1864	512	1053	570	709	1400	1650	1558	1032	1093	595	913	34	923	1290	52
S505-K10-市际卡口	1082	1266	1208	1088	854	1141	912	824	580	294	445	255	585	737	255	418	368	445	255	585	737	345	254	229	380	269	306	216	253	176	368	328	331	276	376	219	56	195	271	204	258	149	174	174	166	276	176	260	194	100	188	202	436	622	211	176	206	235	78	497	591	207
X308-K19-市际卡口	935	1073	1070	976	868	914	768	698	481	375	549	278	542	398	280	329	356	549	278	542	398	371	244	232	375	338	260	141	231	179	356	339	330	207	409	264	78	227	276	260	260	171	186	186	197	339	211	235	240	156	185	241	621	741	233	223	236	245	117	568	950	447
