Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08 10:40:00,6.0,3.0,20.0,2.0,14.0,1.0,15.0,2.0,4.0,5.0,12.0,7.0,5.0,1.0,5.815972222222222,24.0,-0.013888888888888888,10.857142857142858,5.565931353936616,10,4,8,0,1853.0
2023-12-09 10:40:00,20.0,2.0,14.0,1.0,15.0,2.0,4.0,5.0,12.0,7.0,5.0,1.0,4.0,4.0,6.434027777777778,29.0,0.0,10.571428571428571,5.851914042361155,10,5,9,1,1377.0
2023-12-10 10:40:00,14.0,1.0,15.0,2.0,4.0,5.0,12.0,7.0,5.0,1.0,4.0,4.0,8.0,1.0,4.78125,33.0,0.024305555555555556,8.857142857142858,4.421653583012046,10,6,10,1,1422.0
2023-12-11 10:40:00,15.0,2.0,4.0,5.0,12.0,7.0,5.0,1.0,4.0,4.0,8.0,1.0,14.0,4.0,4.9375,39.0,-0.003472222222222222,8.857142857142858,4.421653583012046,10,0,11,0,1812.0
2023-12-12 10:40:00,4.0,5.0,12.0,7.0,5.0,1.0,4.0,4.0,8.0,1.0,14.0,4.0,9.0,4.0,6.291666666666667,39.0,-0.020833333333333332,8.0,3.6645015252516173,10,1,12,0,467.0
2023-12-13 10:40:00,12.0,7.0,5.0,1.0,4.0,4.0,8.0,1.0,14.0,4.0,9.0,4.0,2.0,1.0,1.6215277777777777,17.0,0.010416666666666666,7.714285714285714,4.025429372458677,10,2,13,0,1695.0
2023-12-14 10:40:00,5.0,1.0,4.0,4.0,8.0,1.0,14.0,4.0,9.0,4.0,2.0,1.0,5.0,4.0,5.885416666666667,30.0,0.024305555555555556,6.714285714285714,3.6922422809485957,10,3,14,0,1438.0
2023-12-15 10:40:00,4.0,4.0,8.0,1.0,14.0,4.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,4.993055555555555,35.0,-0.017361111111111112,7.142857142857143,3.6421567954234177,10,4,15,0,1031.0
2023-12-16 10:40:00,8.0,1.0,14.0,4.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,8.0,8.0,3.579861111111111,23.0,-0.027777777777777776,7.714285714285714,3.4106675389466634,10,5,16,1,699.0
2023-12-17 10:40:00,14.0,4.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,8.0,8.0,1.0,4.0,2.4270833333333335,20.0,0.0,6.571428571428571,4.337778985911136,10,6,17,1,1073.0
2023-12-18 10:40:00,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,8.0,8.0,1.0,4.0,1.0,3.0,3.7256944444444446,25.0,0.04513888888888889,4.571428571428571,3.619674131234265,10,0,18,0,1812.0
2023-12-19 10:40:00,2.0,1.0,5.0,4.0,8.0,1.0,8.0,8.0,1.0,4.0,1.0,3.0,9.0,4.0,6.291666666666667,39.0,-0.020833333333333332,4.571428571428571,3.619674131234265,10,1,19,0,467.0
2023-12-20 10:40:00,5.0,4.0,8.0,1.0,8.0,8.0,1.0,4.0,1.0,3.0,9.0,4.0,2.0,1.0,1.6215277777777777,17.0,0.010416666666666666,4.571428571428571,3.619674131234265,10,2,20,0,1695.0
2023-12-21 10:40:00,8.0,1.0,8.0,8.0,1.0,4.0,1.0,3.0,9.0,4.0,2.0,1.0,5.0,4.0,5.885416666666667,30.0,0.024305555555555556,4.571428571428571,3.619674131234265,10,3,21,0,1224.0
2023-12-22 10:40:00,8.0,8.0,1.0,4.0,1.0,3.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,4.25,35.0,-0.027777777777777776,4.571428571428571,3.619674131234265,10,4,22,0,815.0
2023-12-23 10:40:00,1.0,4.0,1.0,3.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,1.0,1.0,2.829861111111111,18.0,0.0,3.4285714285714284,3.6196741312342646,10,5,23,1,612.0
2023-12-24 10:40:00,1.0,3.0,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,2.125,16.0,-0.006944444444444444,3.7142857142857144,3.4106675389466634,10,6,24,1,556.0
2023-12-25 10:40:00,9.0,4.0,2.0,1.0,5.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.9305555555555556,28.0,0.0,3.7142857142857144,3.410667538946663,10,0,25,0,720.0
2023-12-26 10:40:00,2.0,1.0,5.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,2.5,21.0,0.0,2.4285714285714284,2.821202522590214,10,1,26,0,701.0
2023-12-27 10:40:00,5.0,4.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,4.0,2.4340277777777777,26.0,-0.017361111111111112,2.857142857142857,2.9485382057928993,10,2,27,0,748.0
2023-12-28 10:40:00,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,5.0,2.5972222222222223,23.0,0.024305555555555556,2.142857142857143,2.9485382057928993,10,3,28,0,977.0
2023-12-29 10:40:00,1.0,1.0,2.0,2.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,5.0,5.0,2.0,3.392361111111111,23.0,-0.006944444444444444,1.7142857142857142,2.1852940772540506,10,4,29,0,972.0
2023-12-30 10:40:00,2.0,2.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,5.0,3.375,30.0,-0.006944444444444444,2.0,2.0701966780270626,10,5,30,1,732.0
2023-12-31 10:40:00,1.0,1.0,1.0,6.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,4.0,2.5416666666666665,22.0,-0.003472222222222222,1.8571428571428572,2.099562636671296,10,6,31,1,935.0
2024-01-01 10:40:00,1.0,6.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,3.2465277777777777,24.0,0.006944444444444444,1.8571428571428572,2.099562636671296,10,0,1,0,810.0
2024-01-02 10:40:00,5.0,4.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,2.8125,23.0,0.0,1.8571428571428572,2.099562636671296,10,1,2,0,938.0
2024-01-03 10:40:00,1.0,5.0,5.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,3.2569444444444446,23.0,-0.010416666666666666,1.5714285714285714,1.761261143705422,10,2,3,0,735.0
2024-01-04 10:40:00,5.0,2.0,2.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,2.5520833333333335,23.0,0.0,1.5714285714285714,1.761261143705422,10,3,4,0,655.0
2024-01-05 10:40:00,2.0,5.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.2743055555555554,24.0,0.0,0.8571428571428571,1.1248582677159729,10,4,5,0,474.0
2024-01-06 10:40:00,1.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.6458333333333333,17.0,0.0,0.5714285714285714,1.049781318335648,10,5,6,1,463.0
2024-01-07 10:40:00,1.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.6076388888888888,18.0,0.0,0.42857142857142855,1.049781318335648,10,6,7,1,571.0
2024-01-08 10:40:00,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.9826388888888888,18.0,0.017361111111111112,0.42857142857142855,1.049781318335648,10,0,8,0,814.0
2024-01-09 10:40:00,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0,4.0,2.826388888888889,24.0,-0.013888888888888888,1.2857142857142858,2.1852940772540506,10,1,9,0,789.0
2024-01-10 10:40:00,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,6.0,2.7395833333333335,23.0,-0.003472222222222222,1.0,2.0701966780270626,10,2,10,0,666.0
2024-01-11 10:40:00,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,6.0,1.0,1.0,2.3125,20.0,0.0,1.0,2.0701966780270626,10,3,11,0,619.0
2024-01-12 10:40:00,1.0,3.0,1.0,3.0,1.0,1.0,6.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,2.1493055555555554,24.0,0.0,1.0,2.0701966780270626,10,4,12,0,563.0
2024-01-13 10:40:00,1.0,3.0,1.0,1.0,6.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,2.0,1.9548611111111112,25.0,0.0,1.0,2.0701966780270626,10,5,13,1,567.0
2024-01-14 10:40:00,1.0,1.0,6.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.96875,25.0,0.0,1.0,2.0701966780270626,10,6,14,1,664.0
2024-01-15 10:40:00,6.0,4.0,1.0,6.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.3055555555555554,19.0,0.003472222222222222,1.0,2.0701966780270626,10,0,15,0,596.0
2024-01-16 10:40:00,1.0,6.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0694444444444446,25.0,0.024305555555555556,0.14285714285714285,0.3499271061118826,10,1,16,0,886.0
2024-01-17 10:40:00,1.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.076388888888889,30.0,0.0,1.0,0.0,10,2,17,0,810.0
2024-01-18 10:40:00,1.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.8125,32.0,-0.010416666666666666,0.42857142857142855,1.049781318335648,10,3,18,0,728.0
2024-01-19 10:40:00,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.5277777777777777,27.0,-0.013888888888888888,1.0,1.6035674514745464,10,4,19,0,670.0
2024-01-20 10:40:00,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.326388888888889,16.0,0.0,1.5714285714285714,1.8405855323893037,10,5,20,1,725.0
2024-01-21 10:40:00,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,2.517361111111111,21.0,0.0,1.5714285714285714,1.840585532389304,10,6,21,1,709.0
2024-01-22 10:40:00,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,2.4618055555555554,25.0,0.006944444444444444,1.5714285714285714,1.840585532389304,10,0,22,0,1193.0
2024-01-23 10:40:00,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,4.142361111111111,52.0,0.0,1.7142857142857142,1.749635530559413,10,1,23,0,920.0
2024-01-24 10:40:00,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,3.1944444444444446,30.0,-0.003472222222222222,1.8571428571428572,1.64130361329658,10,2,24,0,661.0
2024-01-25 10:40:00,4.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,2.295138888888889,20.0,-0.003472222222222222,1.5714285714285714,1.5907898179514348,10,3,25,0,502.0
2024-01-26 10:40:00,4.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,1.7430555555555556,13.0,0.010416666666666666,1.0,1.3093073414159542,10,4,26,0,574.0
2024-01-27 10:40:00,1.0,3.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,1.9930555555555556,25.0,-0.013888888888888888,1.0,1.3093073414159542,10,5,27,1,283.0
2024-01-28 10:40:00,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,3.0,0.9826388888888888,18.0,-0.017361111111111112,1.7142857142857142,1.8294640678379568,10,6,28,1,487.0
2024-01-29 10:40:00,1.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0,3.0,1.0,6.0,1.6909722222222223,11.0,0.020833333333333332,1.8571428571428572,1.7261494247992246,10,0,29,0,1305.0
