Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08 00:05:00,3.0,10.0,1.0,15.0,4.0,20.0,1.0,18.0,2.0,10.0,1.0,15.0,2.0,15.0,9.01736111111111,40.0,0.0,1.8571428571428572,1.2453996981544782,0,4,8,0,1927.0
2023-12-09 00:05:00,1.0,15.0,4.0,20.0,1.0,18.0,2.0,10.0,1.0,15.0,2.0,15.0,1.0,1.0,6.690972222222222,39.0,0.0,1.4285714285714286,1.2936264483053452,0,5,9,1,1007.0
2023-12-10 00:05:00,4.0,20.0,1.0,18.0,2.0,10.0,1.0,15.0,2.0,15.0,1.0,1.0,1.0,1.0,3.4965277777777777,30.0,-0.003472222222222222,1.4285714285714286,1.293626448305345,0,6,10,1,463.0
2023-12-11 00:05:00,1.0,18.0,2.0,10.0,1.0,15.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6076388888888888,26.0,0.0,0.8571428571428571,0.8329931278350429,0,0,11,0,1072.0
2023-12-12 00:05:00,2.0,10.0,1.0,15.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,3.7222222222222223,29.0,0.0,0.8571428571428571,0.8329931278350428,0,1,12,0,640.0
2023-12-13 00:05:00,1.0,15.0,2.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,2.2222222222222223,29.0,0.003472222222222222,0.5714285714285714,0.7284313590846836,0,2,13,0,1729.0
2023-12-14 00:05:00,2.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,15.0,6.003472222222222,24.0,0.0,0.5714285714285714,0.7284313590846836,0,3,14,0,1971.0
2023-12-15 00:05:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,6.84375,24.0,0.0,0.42857142857142855,0.49487165930539345,0,4,15,0,525.0
2023-12-16 00:05:00,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,2.0,1.8229166666666667,17.0,0.006944444444444444,0.42857142857142855,0.49487165930539345,0,5,16,1,1242.0
2023-12-17 00:05:00,1.0,1.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,2.0,1.0,15.0,4.3125,36.0,0.0,0.42857142857142855,0.49487165930539345,0,6,17,1,286.0
2023-12-18 00:05:00,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,2.0,1.0,15.0,1.0,4.0,0.9930555555555556,16.0,0.0,0.42857142857142855,0.49487165930539345,0,0,18,0,1072.0
2023-12-19 00:05:00,1.0,1.0,1.0,15.0,1.0,13.0,1.0,2.0,1.0,15.0,1.0,4.0,1.0,11.0,3.7222222222222223,29.0,0.0,0.42857142857142855,0.49487165930539345,0,1,19,0,640.0
2023-12-20 00:05:00,1.0,15.0,1.0,13.0,1.0,2.0,1.0,15.0,1.0,4.0,1.0,11.0,1.0,1.0,2.2222222222222223,29.0,0.003472222222222222,0.42857142857142855,0.49487165930539345,0,2,20,0,1729.0
2023-12-21 00:05:00,1.0,13.0,1.0,2.0,1.0,15.0,1.0,4.0,1.0,11.0,1.0,1.0,1.0,15.0,6.003472222222222,24.0,0.0,0.42857142857142855,0.49487165930539345,0,3,21,0,1970.0
2023-12-22 00:05:00,1.0,2.0,1.0,15.0,1.0,4.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,6.840277777777778,24.0,-0.003472222222222222,0.42857142857142855,0.49487165930539345,0,4,22,0,903.0
2023-12-23 00:05:00,1.0,15.0,1.0,4.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,1.0,3.1354166666666665,28.0,0.003472222222222222,0.42857142857142855,0.49487165930539345,0,5,23,1,801.0
2023-12-24 00:05:00,1.0,4.0,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,1.0,1.0,1.0,2.78125,38.0,0.003472222222222222,0.42857142857142855,0.49487165930539345,0,6,24,1,589.0
2023-12-25 00:05:00,1.0,11.0,1.0,1.0,1.0,15.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.045138888888889,29.0,-0.003472222222222222,0.5714285714285714,0.4948716593053935,0,0,25,0,1104.0
2023-12-26 00:05:00,1.0,1.0,1.0,15.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.8333333333333335,34.0,0.003472222222222222,0.5714285714285714,0.4948716593053935,0,1,26,0,686.0
2023-12-27 00:05:00,1.0,15.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.3819444444444446,21.0,-0.003472222222222222,0.7142857142857143,0.45175395145262565,0,2,27,0,315.0
2023-12-28 00:05:00,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.09375,23.0,0.0,0.5714285714285714,0.4948716593053935,0,3,28,0,272.0
2023-12-29 00:05:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,0.9444444444444444,13.0,-0.006944444444444444,0.7142857142857143,0.6998542122237652,0,4,29,0,256.0
2023-12-30 00:05:00,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8888888888888888,16.0,0.003472222222222222,0.7142857142857143,0.6998542122237652,0,5,30,1,300.0
2023-12-31 00:05:00,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0416666666666667,14.0,0.003472222222222222,0.5714285714285714,0.7284313590846835,0,6,31,1,286.0
2024-01-01 00:05:00,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.9930555555555556,16.0,0.0,0.42857142857142855,0.7284313590846835,0,0,1,0,538.0
2024-01-02 00:05:00,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.8680555555555556,21.0,0.006944444444444444,0.42857142857142855,0.7284313590846835,0,1,2,0,554.0
2024-01-03 00:05:00,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.9236111111111112,16.0,-0.010416666666666666,0.8571428571428571,1.456862718169367,0,2,3,0,395.0
2024-01-04 00:05:00,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.3715277777777777,13.0,-0.003472222222222222,1.1428571428571428,1.456862718169367,0,3,4,0,502.0
2024-01-05 00:05:00,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,9.0,1.7430555555555556,21.0,0.0,1.0,1.4142135623730951,0,4,5,0,208.0
2024-01-06 00:05:00,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,0.7222222222222222,10.0,0.0,1.1428571428571428,1.3552618543578767,0,5,6,1,364.0
2024-01-07 00:05:00,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.2638888888888888,14.0,-0.006944444444444444,1.5714285714285714,1.3997084244475304,0,6,7,1,399.0
2024-01-08 00:05:00,1.0,1.0,4.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.3854166666666667,20.0,0.003472222222222222,1.5714285714285714,1.3997084244475304,0,0,8,0,467.0
2024-01-09 00:05:00,4.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.6215277777777777,14.0,0.003472222222222222,1.5714285714285714,1.3997084244475304,0,1,9,0,215.0
