Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08,6.0,11.0,13.0,12.0,5.0,17.0,9.0,20.0,5.0,13.0,12.0,17.0,4.0,16.0,10.614583333333334,28.0,0.03125,7.714285714285714,3.3685217493004562,0,4,8,0,2395.0
2023-12-09,13.0,12.0,5.0,17.0,9.0,20.0,5.0,13.0,12.0,17.0,4.0,16.0,7.0,11.0,8.315972222222221,24.0,0.003472222222222222,7.857142857142857,3.313546715640915,0,5,9,1,1822.0
2023-12-10,5.0,17.0,9.0,20.0,5.0,13.0,12.0,17.0,4.0,16.0,7.0,11.0,14.0,3.0,6.326388888888889,26.0,0.010416666666666666,8.0,3.5456210417116734,0,6,10,1,1884.0
2023-12-11,9.0,20.0,5.0,13.0,12.0,17.0,4.0,16.0,7.0,11.0,14.0,3.0,12.0,1.0,6.541666666666667,31.0,-0.006944444444444444,9.0,3.5456210417116734,0,0,11,0,1914.0
2023-12-12,5.0,13.0,12.0,17.0,4.0,16.0,7.0,11.0,14.0,3.0,12.0,1.0,10.0,13.0,6.645833333333333,27.0,0.0,9.142857142857142,3.562846832382836,0,1,12,0,543.0
2023-12-13,12.0,17.0,4.0,16.0,7.0,11.0,14.0,3.0,12.0,1.0,10.0,13.0,10.0,1.0,1.8854166666666667,18.0,-0.034722222222222224,9.857142857142858,3.136356914300021,0,2,13,0,1274.0
2023-12-14,4.0,16.0,7.0,11.0,14.0,3.0,12.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,4.423611111111111,25.0,0.0,8.142857142857142,4.485805276602166,0,3,14,0,1229.0
2023-12-15,7.0,11.0,14.0,3.0,12.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,4.267361111111111,19.0,0.034722222222222224,7.571428571428571,5.178448274397674,0,4,15,0,1336.0
2023-12-16,14.0,3.0,12.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,4.638888888888889,27.0,0.006944444444444444,7.0,5.42481072744215,0,5,16,1,1478.0
2023-12-17,12.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,11.0,1.0,5.131944444444445,25.0,-0.020833333333333332,6.571428571428571,4.952838806674205,0,6,17,1,1466.0
2023-12-18,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,11.0,1.0,6.0,1.0,5.090277777777778,24.0,0.0,5.714285714285714,4.43087497693452,0,0,18,0,1914.0
2023-12-19,10.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,11.0,1.0,6.0,1.0,10.0,13.0,6.645833333333333,27.0,0.0,5.714285714285714,4.43087497693452,0,1,19,0,543.0
2023-12-20,1.0,6.0,1.0,1.0,3.0,1.0,11.0,1.0,6.0,1.0,10.0,13.0,10.0,1.0,1.8854166666666667,18.0,-0.034722222222222224,5.714285714285714,4.43087497693452,0,2,20,0,1274.0
2023-12-21,1.0,1.0,3.0,1.0,11.0,1.0,6.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,4.423611111111111,25.0,0.0,5.714285714285714,4.43087497693452,0,3,21,0,1229.0
2023-12-22,3.0,1.0,11.0,1.0,6.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,4.267361111111111,19.0,0.034722222222222224,5.714285714285714,4.43087497693452,0,4,22,0,1503.0
2023-12-23,11.0,1.0,6.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,9.0,4.0,5.21875,23.0,0.0,6.571428571428571,4.403152859263555,0,5,23,1,1200.0
2023-12-24,6.0,1.0,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,9.0,4.0,11.0,1.0,4.166666666666667,26.0,-0.003472222222222222,6.571428571428571,4.403152859263555,0,6,24,1,1100.0
2023-12-25,10.0,13.0,10.0,1.0,1.0,6.0,1.0,1.0,9.0,4.0,11.0,1.0,11.0,3.0,3.8194444444444446,20.0,-0.027777777777777776,7.285714285714286,4.651091598885631,0,0,25,0,1545.0
2023-12-26,10.0,1.0,1.0,6.0,1.0,1.0,9.0,4.0,11.0,1.0,11.0,3.0,10.0,1.0,5.364583333333333,29.0,0.0,7.285714285714286,4.65109159888563,0,1,26,0,1500.0
2023-12-27,1.0,6.0,1.0,1.0,9.0,4.0,11.0,1.0,11.0,3.0,10.0,1.0,6.0,1.0,5.208333333333333,29.0,0.04513888888888889,6.714285714285714,4.526565576501389,0,2,27,0,1700.0
2023-12-28,1.0,1.0,9.0,4.0,11.0,1.0,11.0,3.0,10.0,1.0,6.0,1.0,6.0,1.0,5.902777777777778,30.0,0.010416666666666666,7.571428571428571,3.6589281356759136,0,3,28,0,1349.0
2023-12-29,9.0,4.0,11.0,1.0,11.0,3.0,10.0,1.0,6.0,1.0,6.0,1.0,6.0,3.0,4.684027777777778,23.0,-0.006944444444444444,8.428571428571429,2.194613070819602,0,4,29,0,1298.0
2023-12-30,11.0,1.0,11.0,3.0,10.0,1.0,6.0,1.0,6.0,1.0,6.0,3.0,7.0,2.0,4.506944444444445,23.0,0.020833333333333332,8.142857142857142,2.2314999074019015,0,5,30,1,1283.0
2023-12-31,11.0,3.0,10.0,1.0,6.0,1.0,6.0,1.0,6.0,3.0,7.0,2.0,14.0,1.0,4.454861111111111,30.0,-0.010416666666666666,8.571428571428571,2.920721185751553,0,6,31,1,1466.0
2024-01-01,10.0,1.0,6.0,1.0,6.0,1.0,6.0,3.0,7.0,2.0,14.0,1.0,6.0,1.0,5.090277777777778,24.0,0.0,7.857142857142857,2.849991049037143,0,0,1,0,1141.0
2024-01-02,6.0,1.0,6.0,1.0,6.0,3.0,7.0,2.0,14.0,1.0,6.0,1.0,12.0,2.0,3.9618055555555554,19.0,-0.017361111111111112,8.142857142857142,3.136356914300021,0,1,2,0,1638.0
2024-01-03,6.0,1.0,6.0,3.0,7.0,2.0,14.0,1.0,6.0,1.0,12.0,2.0,4.0,1.0,5.6875,29.0,0.04513888888888889,7.857142857142857,3.398679215248663,0,2,3,0,1441.0
2024-01-04,6.0,3.0,7.0,2.0,14.0,1.0,6.0,1.0,12.0,2.0,4.0,1.0,9.0,1.0,5.003472222222222,29.0,0.027777777777777776,8.285714285714286,3.325841921949376,0,3,4,0,1611.0
2024-01-05,7.0,2.0,14.0,1.0,6.0,1.0,12.0,2.0,4.0,1.0,9.0,1.0,13.0,3.0,5.59375,28.0,-0.013888888888888888,9.285714285714286,3.534090536243709,0,4,5,0,1358.0
2024-01-06,14.0,1.0,6.0,1.0,12.0,2.0,4.0,1.0,9.0,1.0,13.0,3.0,13.0,1.0,4.715277777777778,29.0,0.006944444444444444,10.142857142857142,3.602720060833855,0,5,6,1,1009.0
2024-01-07,6.0,1.0,12.0,2.0,4.0,1.0,9.0,1.0,13.0,3.0,13.0,1.0,6.0,1.0,3.5034722222222223,29.0,0.03125,9.0,3.4641016151377544,0,6,7,1,903.0
2024-01-08,12.0,2.0,4.0,1.0,9.0,1.0,13.0,3.0,13.0,1.0,6.0,1.0,8.0,1.0,3.1354166666666665,18.0,-0.027777777777777776,9.285714285714286,3.28260722659316,0,0,8,0,1485.0
2024-01-09,4.0,1.0,9.0,1.0,13.0,3.0,13.0,1.0,6.0,1.0,8.0,1.0,8.0,3.0,5.15625,26.0,0.003472222222222222,8.714285714285714,3.103651568914347,0,1,9,0,1553.0
2024-01-10,9.0,1.0,13.0,3.0,13.0,1.0,6.0,1.0,8.0,1.0,8.0,3.0,15.0,6.0,5.392361111111111,29.0,-0.010416666666666666,10.285714285714286,3.1036515689143473,0,2,10,0,1679.0
2024-01-11,13.0,3.0,13.0,1.0,6.0,1.0,8.0,1.0,8.0,3.0,15.0,6.0,7.0,1.0,5.829861111111111,27.0,-0.003472222222222222,10.0,3.295017884191656,0,3,11,0,2125.0
2024-01-12,13.0,1.0,6.0,1.0,8.0,1.0,8.0,3.0,15.0,6.0,7.0,1.0,14.0,1.0,7.378472222222222,28.0,-0.020833333333333332,10.142857142857142,3.440455593940656,0,4,12,0,1296.0
2024-01-13,6.0,1.0,8.0,1.0,8.0,3.0,15.0,6.0,7.0,1.0,14.0,1.0,8.0,1.0,4.5,23.0,-0.027777777777777776,9.428571428571429,3.2888184094918107,0,5,13,1,1296.0
2024-01-14,8.0,1.0,8.0,3.0,15.0,6.0,7.0,1.0,14.0,1.0,8.0,1.0,8.0,1.0,4.5,23.0,-0.027777777777777776,9.714285714285714,3.0572763655760995,0,6,14,1,1374.0
2024-01-15,8.0,3.0,15.0,6.0,7.0,1.0,14.0,1.0,8.0,1.0,8.0,1.0,12.0,1.0,4.770833333333333,28.0,-0.024305555555555556,10.285714285714286,3.0572763655760995,0,0,15,0,1667.0
2024-01-16,15.0,6.0,7.0,1.0,14.0,1.0,8.0,1.0,8.0,1.0,12.0,1.0,12.0,2.0,5.788194444444445,26.0,0.010416666666666666,10.857142857142858,2.9485382057928993,0,1,16,0,1892.0
2024-01-17,7.0,1.0,14.0,1.0,8.0,1.0,8.0,1.0,12.0,1.0,12.0,2.0,11.0,1.0,6.569444444444445,31.0,0.010416666666666666,10.285714285714286,2.4327694808466287,0,2,17,0,1345.0
2024-01-18,14.0,1.0,8.0,1.0,8.0,1.0,12.0,1.0,12.0,2.0,11.0,1.0,6.0,1.0,4.670138888888889,22.0,0.003472222222222222,10.142857142857142,2.6418917155581325,0,3,18,0,1410.0
2024-01-19,8.0,1.0,8.0,1.0,12.0,1.0,12.0,2.0,11.0,1.0,6.0,1.0,13.0,1.0,4.895833333333333,28.0,-0.013888888888888888,10.0,2.449489742783178,0,4,19,0,850.0
2024-01-20,8.0,1.0,12.0,1.0,12.0,2.0,11.0,1.0,6.0,1.0,13.0,1.0,6.0,1.0,2.951388888888889,25.0,0.003472222222222222,9.714285714285714,2.7627256579733883,0,5,20,1,1223.0
2024-01-21,12.0,1.0,12.0,2.0,11.0,1.0,6.0,1.0,13.0,1.0,6.0,1.0,16.0,5.0,4.246527777777778,24.0,-0.024305555555555556,10.857142857142858,3.398679215248663,0,6,21,1,1433.0
2024-01-22,12.0,2.0,11.0,1.0,6.0,1.0,13.0,1.0,6.0,1.0,16.0,5.0,7.0,1.0,4.975694444444445,26.0,-0.010416666666666666,10.142857142857142,3.602720060833855,0,0,22,0,1862.0
2024-01-23,11.0,1.0,6.0,1.0,13.0,1.0,6.0,1.0,16.0,5.0,7.0,1.0,6.0,11.0,6.465277777777778,22.0,0.006944444444444444,9.285714285714286,3.7688302737922625,0,1,23,0,2116.0
2024-01-24,6.0,1.0,13.0,1.0,6.0,1.0,16.0,5.0,7.0,1.0,6.0,11.0,7.0,6.0,7.347222222222222,23.0,0.010416666666666666,8.714285714285714,3.7688302737922625,0,2,24,0,1084.0
2024-01-25,13.0,1.0,6.0,1.0,16.0,5.0,7.0,1.0,6.0,11.0,7.0,6.0,1.0,1.0,3.763888888888889,21.0,0.017361111111111112,7.857142857142857,4.823412290324038,0,3,25,0,1130.0
2024-01-26,6.0,1.0,16.0,5.0,7.0,1.0,6.0,11.0,7.0,6.0,1.0,1.0,4.0,1.0,3.923611111111111,20.0,0.017361111111111112,6.571428571428571,4.467570220317683,0,4,26,0,1124.0
2024-01-27,16.0,5.0,7.0,1.0,6.0,11.0,7.0,6.0,1.0,1.0,4.0,1.0,7.0,1.0,3.9027777777777777,15.0,0.003472222222222222,6.714285714285714,4.462999814803802,0,5,27,1,1037.0
2024-01-28,7.0,1.0,6.0,11.0,7.0,6.0,1.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,3.6006944444444446,24.0,0.013888888888888888,5.428571428571429,2.4411439272335804,0,6,28,1,600.0
2024-01-29,6.0,11.0,7.0,6.0,1.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,5.0,1.0,2.0833333333333335,21.0,0.0,5.142857142857143,2.356060357495806,0,0,29,0,1537.0
2024-01-30,7.0,6.0,1.0,1.0,4.0,1.0,7.0,1.0,7.0,1.0,5.0,1.0,2.0,1.0,5.336805555555555,25.0,-0.006944444444444444,4.571428571428571,2.5555062599997598,0,1,30,0,1600.0
