Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08 06:15:00,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.125,59.0,0.0,0.14285714285714285,0.3499271061118826,6,4,8,0,1728.0
2023-12-09 06:15:00,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,38.0,0.0,1.0,0.0,6,5,9,1,1654.0
2023-12-10 06:15:00,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.743055555555555,45.0,0.0,1.0,0.0,6,6,10,1,488.0
2023-12-11 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6944444444444444,40.0,0.0,1.0,0.0,6,0,11,0,1876.0
2023-12-12 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.513888888888889,48.0,0.0,1.0,0.0,6,1,12,0,774.0
2023-12-13 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6875,43.0,0.0,1.0,0.0,6,2,13,0,1945.0
2023-12-14 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.753472222222222,43.0,0.0,1.0,0.0,6,3,14,0,1546.0
2023-12-15 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.368055555555555,42.0,0.0,1.0,0.0,6,4,15,0,419.0
2023-12-16 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4548611111111112,23.0,0.0,1.0,0.0,6,5,16,1,1769.0
2023-12-17 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.142361111111111,56.0,0.0,1.0,0.0,6,6,17,1,157.0
2023-12-18 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5451388888888888,30.0,0.0,1.0,0.0,6,0,18,0,1876.0
2023-12-19 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.513888888888889,48.0,0.0,1.0,0.0,6,1,19,0,774.0
2023-12-20 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6875,43.0,0.0,1.0,0.0,6,2,20,0,1945.0
2023-12-21 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.753472222222222,43.0,0.0,1.0,0.0,6,3,21,0,1546.0
2023-12-22 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.368055555555555,42.0,0.0,1.0,0.0,6,4,22,0,1652.0
2023-12-23 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.736111111111111,50.0,0.0,1.0,0.0,6,5,23,1,831.0
2023-12-24 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8854166666666665,39.0,0.0,1.0,0.0,6,6,24,1,649.0
2023-12-25 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2534722222222223,42.0,0.0,1.0,0.0,6,0,25,0,1207.0
2023-12-26 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.190972222222222,43.0,0.0,1.0,0.0,6,1,26,0,819.0
2023-12-27 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.84375,46.0,0.0,1.0,0.0,6,2,27,0,686.0
2023-12-28 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3819444444444446,32.0,0.0,1.0,0.0,6,3,28,0,321.0
2023-12-29 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1145833333333333,23.0,0.0,1.0,0.0,6,4,29,0,99.0
2023-12-30 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34375,13.0,0.0,1.0,0.0,6,5,30,1,120.0
2023-12-31 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,21.0,0.0,1.0,0.0,6,6,31,1,157.0
2024-01-01 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5451388888888888,30.0,0.0,1.0,0.0,6,0,1,0,536.0
2024-01-02 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8611111111111112,31.0,0.0,1.0,0.0,6,1,2,0,536.0
2024-01-03 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8611111111111112,25.0,0.0,1.0,0.0,6,2,3,0,477.0
2024-01-04 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.65625,28.0,0.0,1.0,0.0,6,3,4,0,978.0
2024-01-05 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3958333333333335,36.0,0.0,1.0,0.0,6,4,5,0,592.0
2024-01-06 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0555555555555554,40.0,0.0,1.0,0.0,6,5,6,1,163.0
2024-01-07 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5659722222222222,21.0,0.0,1.0,0.0,6,6,7,1,439.0
2024-01-08 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5243055555555556,35.0,0.0,1.0,0.0,6,0,8,0,730.0
2024-01-09 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5347222222222223,35.0,0.0,1.0,0.0,6,1,9,0,205.0
2024-01-10 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7118055555555556,26.0,0.0,1.0,0.0,6,2,10,0,607.0
2024-01-11 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.107638888888889,36.0,0.0,1.0,0.0,6,3,11,0,1591.0
2024-01-12 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.524305555555555,52.0,0.0,1.0,0.0,6,4,12,0,439.0
2024-01-13 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5243055555555556,46.0,0.0,1.0,0.0,6,5,13,1,439.0
2024-01-14 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5243055555555556,46.0,0.0,1.0,0.0,6,6,14,1,141.0
2024-01-15 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4895833333333333,18.0,0.0,1.0,0.0,6,0,15,0,600.0
2024-01-16 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0833333333333335,37.0,0.0,1.0,0.0,6,1,16,0,1293.0
2024-01-17 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.489583333333333,55.0,-0.003472222222222222,0.14285714285714285,0.34992710611188266,6,2,17,0,206.0
2024-01-18 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7152777777777778,28.0,0.0,0.14285714285714285,0.34992710611188266,6,3,18,0,250.0
2024-01-19 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8680555555555556,24.0,0.0,0.14285714285714285,0.34992710611188266,6,4,19,0,287.0
2024-01-20 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965277777777778,36.0,0.0,0.14285714285714285,0.3499271061118826,6,5,20,1,254.0
2024-01-21 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8819444444444444,22.0,0.0,0.14285714285714285,0.3499271061118826,6,6,21,1,390.0
2024-01-22 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3541666666666667,30.0,0.0,0.14285714285714285,0.3499271061118826,6,0,22,0,1346.0
2024-01-23 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.673611111111111,43.0,0.0,0.14285714285714285,0.3499271061118826,6,1,23,0,1004.0
2024-01-24 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.486111111111111,36.0,0.0,1.0,0.0,6,2,24,0,799.0
2024-01-25 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7743055555555554,39.0,0.0,1.0,0.0,6,3,25,0,458.0
2024-01-26 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5902777777777777,28.0,0.0,1.0,0.0,6,4,26,0,475.0
2024-01-27 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6493055555555556,22.0,0.0,1.0,0.0,6,5,27,1,487.0
2024-01-28 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6909722222222223,32.0,0.0,1.0,0.0,6,6,28,1,10.0
2024-01-29 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034722222222222224,7.0,0.0,1.0,0.0,6,0,29,0,1586.0
2024-01-30 06:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.506944444444445,46.0,0.0,1.0,0.0,6,1,30,0,930.0
