Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Recent_Mean,Recent_Max,Recent_Trend,Hist_Same_Mean,Hist_Same_Std,Hour,DayOfWeek,DayOfMonth,IsWeekend,Target_1Day
2023-12-08,1.0,8.0,2.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,2.6666666666666665,12.0,-0.003472222222222222,1.4285714285714286,0.7284313590846835,0,4,8,0,698.0
2023-12-09,2.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.423611111111111,13.0,0.003472222222222222,1.2857142857142858,0.880630571852711,0,5,9,1,481.0
2023-12-10,1.0,2.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.6701388888888888,11.0,-0.003472222222222222,1.2857142857142858,0.880630571852711,0,6,10,1,375.0
2023-12-11,3.0,4.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.3020833333333333,11.0,0.0,1.1428571428571428,0.989743318610787,0,0,11,0,549.0
2023-12-12,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.90625,12.0,-0.003472222222222222,0.8571428571428571,0.6388765649999398,0,1,12,0,278.0
2023-12-13,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9652777777777778,11.0,-0.003472222222222222,0.8571428571428571,0.6388765649999398,0,2,13,0,542.0
2023-12-14,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.8819444444444444,12.0,-0.003472222222222222,1.0,0.7559289460184544,0,3,14,0,398.0
2023-12-15,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.3819444444444444,12.0,-0.006944444444444444,1.1428571428571428,0.8329931278350429,0,4,15,0,280.0
2023-12-16,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0.9722222222222222,9.0,-0.003472222222222222,1.2857142857142858,0.6998542122237652,0,5,16,1,329.0
2023-12-17,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.1423611111111112,9.0,0.0,1.0,0.7559289460184544,0,6,17,1,356.0
2023-12-18,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.2361111111111112,8.0,-0.003472222222222222,1.2857142857142858,0.6998542122237652,0,0,18,0,549.0
2023-12-19,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.90625,12.0,-0.003472222222222222,1.2857142857142858,0.6998542122237652,0,1,19,0,278.0
2023-12-20,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.9652777777777778,11.0,-0.003472222222222222,1.2857142857142858,0.6998542122237652,0,2,20,0,542.0
2023-12-21,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.8819444444444444,12.0,-0.003472222222222222,1.2857142857142858,0.6998542122237652,0,3,21,0,398.0
2023-12-22,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.3819444444444444,12.0,-0.006944444444444444,1.2857142857142858,0.6998542122237652,0,4,22,0,371.0
2023-12-23,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.2881944444444444,14.0,0.0,1.1428571428571428,0.8329931278350429,0,5,23,1,244.0
2023-12-24,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8472222222222222,10.0,0.0,1.2857142857142858,0.6998542122237652,0,6,24,1,232.0
2023-12-25,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8055555555555556,7.0,0.0,1.0,0.7559289460184544,0,0,25,0,375.0
2023-12-26,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.3020833333333333,10.0,0.0,0.8571428571428571,0.8329931278350428,0,1,26,0,338.0
2023-12-27,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.1736111111111112,9.0,-0.010416666666666666,1.1428571428571428,1.1248582677159729,0,2,27,0,260.0
2023-12-28,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.9027777777777778,8.0,0.0,1.0,1.0690449676496976,0,3,28,0,141.0
2023-12-29,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.4895833333333333,8.0,0.0,0.7142857142857143,1.0301575072754257,0,4,29,0,231.0
2023-12-30,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8020833333333334,11.0,0.006944444444444444,0.7142857142857143,1.0301575072754257,0,5,30,1,179.0
2023-12-31,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.6215277777777778,7.0,0.0,0.7142857142857143,1.0301575072754257,0,6,31,1,356.0
2024-01-01,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.2361111111111112,8.0,-0.003472222222222222,1.0,1.0690449676496976,0,0,1,0,339.0
2024-01-02,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.1770833333333333,9.0,0.0,1.0,1.0690449676496976,0,1,2,0,330.0
2024-01-03,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.1458333333333333,9.0,0.0,0.5714285714285714,0.7284313590846835,0,2,3,0,207.0
2024-01-04,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71875,8.0,-0.003472222222222222,0.5714285714285714,0.7284313590846836,0,3,4,0,409.0
2024-01-05,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4201388888888888,9.0,0.006944444444444444,0.7142857142857143,0.6998542122237652,0,4,5,0,264.0
2024-01-06,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,9.0,-0.003472222222222222,0.8571428571428571,0.6388765649999398,0,5,6,1,78.0
2024-01-07,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2708333333333333,5.0,0.0,0.7142857142857143,0.6998542122237651,0,6,7,1,227.0
2024-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7881944444444444,7.0,0.0,0.42857142857142855,0.49487165930539345,0,0,8,0,276.0
2024-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,8.0,0.0,0.42857142857142855,0.49487165930539345,0,1,9,0,260.0
2024-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9027777777777778,7.0,-0.010416666666666666,0.8571428571428571,0.9897433186107869,0,2,10,0,260.0
2024-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9027777777777778,7.0,0.0,0.7142857142857143,1.0301575072754257,0,3,11,0,171.0
2024-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.59375,7.0,0.013888888888888888,0.7142857142857143,1.0301575072754257,0,4,12,0,186.0
2024-01-13,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6458333333333334,10.0,-0.003472222222222222,0.7142857142857143,1.0301575072754257,0,5,13,1,186.0
2024-01-14,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6458333333333334,10.0,-0.003472222222222222,0.8571428571428571,0.989743318610787,0,6,14,1,197.0
2024-01-15,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6840277777777778,7.0,0.0,1.0,0.9258200997725514,0,0,15,0,339.0
2024-01-16,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.1770833333333333,8.0,0.003472222222222222,1.1428571428571428,0.8329931278350429,0,1,16,0,211.0
2024-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.7326388888888888,7.0,0.003472222222222222,0.7142857142857143,0.4517539514526256,0,2,17,0,235.0
2024-01-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.8159722222222222,8.0,0.0,0.7142857142857143,0.4517539514526257,0,3,18,0,240.0
2024-01-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8333333333333334,7.0,0.0,0.5714285714285714,0.4948716593053935,0,4,19,0,156.0
2024-01-20,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5416666666666666,10.0,0.003472222222222222,0.42857142857142855,0.49487165930539345,0,5,20,1,185.0
2024-01-21,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.6423611111111112,7.0,-0.003472222222222222,0.5714285714285714,0.7284313590846835,0,6,21,1,241.0
2024-01-22,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8368055555555556,9.0,0.0,0.42857142857142855,0.7284313590846835,0,0,22,0,621.0
2024-01-23,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.15625,12.0,0.0,0.2857142857142857,0.6998542122237653,0,1,23,0,741.0
2024-01-24,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.5729166666666665,11.0,-0.003472222222222222,0.42857142857142855,0.7284313590846835,0,2,24,0,233.0
2024-01-25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.8090277777777778,8.0,0.003472222222222222,0.42857142857142855,0.7284313590846835,0,3,25,0,223.0
2024-01-26,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.7743055555555556,7.0,0.006944444444444444,0.42857142857142855,0.7284313590846835,0,4,26,0,236.0
2024-01-27,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8194444444444444,7.0,0.0,0.42857142857142855,0.7284313590846835,0,5,27,1,245.0
2024-01-28,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8506944444444444,6.0,0.0,0.14285714285714285,0.3499271061118826,0,6,28,1,117.0
2024-01-29,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.40625,8.0,-0.006944444444444444,0.42857142857142855,0.7284313590846835,0,0,29,0,568.0
2024-01-30,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.9722222222222223,10.0,0.0,0.42857142857142855,0.7284313590846835,0,1,30,0,950.0
