Date,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Recent_Mean,Recent_Std,Trend,Hour,DayOfWeek,IsWeekend,Target_1Hour
2023-12-01 05:55:00,4.0,5.0,1.0,6.0,4.0,1.0,4.416666666666667,2.1392496088322392,0.3333333333333333,5,4,0,42.0
2023-12-01 06:00:00,10.0,2.0,4.0,1.0,3.0,6.0,4.583333333333333,1.846543317180028,-0.3333333333333333,6,4,0,55.0
2023-12-01 06:05:00,2.0,2.0,3.0,2.0,6.0,7.0,4.083333333333333,2.1778557242286634,-0.5833333333333334,6,4,0,76.0
2023-12-01 06:10:00,4.0,1.0,4.0,9.0,4.0,4.0,3.5,2.254624876411447,-0.3333333333333333,6,4,0,95.0
2023-12-01 06:15:00,6.0,2.0,2.0,2.0,3.0,1.0,3.1666666666666665,2.4438130497691968,-0.08333333333333333,6,4,0,121.0
2023-12-01 06:20:00,4.0,6.0,5.0,3.0,1.0,4.0,3.1666666666666665,2.4438130497691968,-0.25,6,4,0,138.0
2023-12-01 06:25:00,13.0,6.0,3.0,6.0,4.0,6.0,3.25,2.48746859276655,-0.08333333333333333,6,4,0,155.0
2023-12-01 06:30:00,7.0,6.0,5.0,1.0,6.0,5.0,2.9166666666666665,2.3614378858841256,-0.25,6,4,0,176.0
2023-12-01 06:35:00,4.0,4.0,6.0,1.0,1.0,7.0,2.5833333333333335,2.3258809561588105,-0.5,6,4,0,184.0
2023-12-01 06:40:00,8.0,8.0,7.0,4.0,1.0,3.0,2.0,2.0,-0.25,6,4,0,215.0
2023-12-01 06:45:00,5.0,3.0,2.0,2.0,1.0,6.0,1.9166666666666667,1.9773017529507786,-0.3333333333333333,6,4,0,230.0
2023-12-01 06:50:00,4.0,6.0,3.0,1.0,4.0,4.0,2.8333333333333335,4.543004390146336,1.0833333333333333,6,4,0,225.0
2023-12-01 06:55:00,5.0,1.0,6.0,4.0,1.0,2.0,3.5,5.204164998665331,0.8333333333333334,6,4,0,224.0
2023-12-01 07:00:00,2.0,4.0,1.0,3.0,6.0,1.0,4.583333333333333,6.061605031306112,1.25,7,4,0,230.0
2023-12-01 07:05:00,2.0,3.0,2.0,6.0,7.0,1.0,6.333333333333333,7.37488229661253,1.75,7,4,0,230.0
2023-12-01 07:10:00,1.0,4.0,9.0,4.0,4.0,1.0,7.916666666666667,7.8682731410533915,1.5833333333333333,7,4,0,229.0
2023-12-01 07:15:00,2.0,2.0,2.0,3.0,1.0,1.0,10.083333333333334,8.901856859979022,2.0833333333333335,7,4,0,226.0
2023-12-01 07:20:00,6.0,5.0,3.0,1.0,4.0,5.0,11.5,8.69386757049665,1.0833333333333333,7,4,0,225.0
2023-12-01 07:25:00,6.0,3.0,6.0,4.0,6.0,2.0,12.916666666666666,8.901856859979022,1.6666666666666667,7,4,0,225.0
2023-12-01 07:30:00,6.0,5.0,1.0,6.0,5.0,1.0,14.666666666666666,8.644201653259959,1.8333333333333333,7,4,0,220.0
2023-12-01 07:35:00,4.0,6.0,1.0,1.0,7.0,1.0,15.333333333333334,7.8351061823621055,0.75,7,4,0,233.0
2023-12-01 07:40:00,8.0,7.0,4.0,1.0,3.0,2.0,17.916666666666668,7.454957336490189,2.4166666666666665,7,4,0,222.0
2023-12-01 07:45:00,3.0,2.0,2.0,1.0,6.0,17.0,19.166666666666668,5.742144392317405,0.0,7,4,0,221.0
2023-12-01 07:50:00,6.0,3.0,1.0,4.0,4.0,12.0,18.75,6.057020719792859,0.0,7,4,0,228.0
2023-12-01 07:55:00,1.0,6.0,4.0,1.0,2.0,15.0,18.666666666666668,6.1553951042064625,-0.3333333333333333,7,4,0,233.0
2023-12-01 08:00:00,4.0,1.0,3.0,6.0,1.0,21.0,19.166666666666668,6.080478782318233,0.0,8,4,0,241.0
2023-12-01 08:05:00,3.0,2.0,6.0,7.0,1.0,19.0,19.166666666666668,6.080478782318233,0.16666666666666666,8,4,0,248.0
2023-12-01 08:10:00,4.0,9.0,4.0,4.0,1.0,26.0,19.083333333333332,6.089038420710523,-0.6666666666666666,8,4,0,248.0
2023-12-01 08:15:00,2.0,2.0,3.0,1.0,1.0,18.0,18.833333333333332,5.85709446360186,0.4166666666666667,8,4,0,252.0
2023-12-01 08:20:00,5.0,3.0,1.0,4.0,5.0,22.0,18.75,5.875443245690774,-0.4166666666666667,8,4,0,264.0
2023-12-01 08:25:00,3.0,6.0,4.0,6.0,2.0,23.0,18.75,5.875443245690774,-0.08333333333333333,8,4,0,276.0
2023-12-01 08:30:00,5.0,1.0,6.0,5.0,1.0,9.0,18.333333333333332,5.734883511361751,0.75,8,4,0,285.0
2023-12-01 08:35:00,6.0,1.0,1.0,7.0,1.0,31.0,19.416666666666668,5.057310440232919,-0.75,8,4,0,289.0
2023-12-01 08:40:00,7.0,4.0,1.0,3.0,2.0,17.0,18.5,3.685557397915997,0.25,8,4,0,300.0
2023-12-01 08:45:00,2.0,2.0,1.0,6.0,17.0,12.0,18.416666666666668,3.7295740001000413,0.3333333333333333,8,4,0,301.0
2023-12-01 08:50:00,3.0,1.0,4.0,4.0,12.0,11.0,19.0,3.1885210782848317,0.6666666666666666,8,4,0,311.0
2023-12-01 08:55:00,6.0,4.0,1.0,2.0,15.0,21.0,19.416666666666668,2.3258809561588105,-0.4166666666666667,8,4,0,329.0
2023-12-01 09:00:00,1.0,3.0,6.0,1.0,21.0,21.0,20.083333333333332,3.522743564641375,0.6666666666666666,9,4,0,334.0
2023-12-01 09:05:00,2.0,6.0,7.0,1.0,19.0,18.0,20.666666666666668,4.149966532662911,0.8333333333333334,9,4,0,330.0
2023-12-01 09:10:00,9.0,4.0,4.0,1.0,26.0,23.0,20.666666666666668,4.14996653266291,-0.4166666666666667,9,4,0,346.0
2023-12-01 09:15:00,2.0,3.0,1.0,1.0,18.0,17.0,21.0,4.47213595499958,0.8333333333333334,9,4,0,360.0
2023-12-01 09:20:00,3.0,1.0,4.0,5.0,22.0,22.0,22.0,4.795831523312719,0.5833333333333334,9,4,0,362.0
2023-12-01 09:25:00,6.0,4.0,6.0,2.0,23.0,18.0,23.0,5.830951894845301,1.3333333333333333,9,4,0,355.0
2023-12-01 09:30:00,1.0,6.0,5.0,1.0,9.0,22.0,23.75,5.717298313014636,0.4166666666666667,9,4,0,345.0
2023-12-01 09:35:00,1.0,1.0,7.0,1.0,31.0,20.0,24.083333333333332,5.722154800034298,0.5,9,4,0,340.0
2023-12-01 09:40:00,4.0,1.0,3.0,2.0,17.0,16.0,25.0,5.873670062235365,1.25,9,4,0,340.0
2023-12-01 09:45:00,2.0,1.0,6.0,17.0,12.0,19.0,25.083333333333332,5.75120760265954,-0.16666666666666666,9,4,0,346.0
2023-12-01 09:50:00,1.0,4.0,4.0,12.0,11.0,16.0,25.916666666666668,5.529592108726365,1.0833333333333333,9,4,0,336.0
2023-12-01 09:55:00,4.0,1.0,2.0,15.0,21.0,29.0,27.416666666666668,5.05731044023292,0.4166666666666667,9,4,0,330.0
2023-12-01 10:00:00,3.0,6.0,1.0,21.0,21.0,28.0,27.833333333333332,5.3670807293682055,0.5,10,4,0,328.0
2023-12-01 10:05:00,6.0,7.0,1.0,19.0,18.0,18.0,27.5,5.469613027140647,0.5,10,4,0,333.0
2023-12-01 10:10:00,4.0,4.0,1.0,26.0,23.0,27.0,28.833333333333332,4.913134324327892,0.5833333333333334,10,4,0,328.0
2023-12-01 10:15:00,3.0,1.0,1.0,18.0,17.0,29.0,30.0,5.901977069875258,1.0,10,4,0,310.0
2023-12-01 10:20:00,1.0,4.0,5.0,22.0,22.0,34.0,30.166666666666668,5.899623340142619,-0.25,10,4,0,315.0
2023-12-01 10:25:00,4.0,6.0,2.0,23.0,18.0,27.0,29.583333333333332,5.8374985129667385,0.0,10,4,0,312.0
2023-12-01 10:30:00,6.0,5.0,1.0,9.0,22.0,26.0,28.75,6.783865662978103,-0.75,10,4,0,324.0
