Date,Open,High,Close,Target_5min,Target_1hour,Target_1day
2023-12-01 00:30:00,1.0,1.0,1.0,0.0,7.0,2685.0
2023-12-01 00:35:00,1.0,1.0,1.0,2.0,7.0,2685.0
2023-12-01 00:40:00,2.0,1.0,1.0,0.0,6.0,2685.0
2023-12-01 00:45:00,1.0,2.0,1.0,3.0,6.0,2685.0
2023-12-01 00:50:00,3.0,1.0,2.0,1.0,4.0,2682.0
2023-12-01 00:55:00,1.0,3.0,1.0,0.0,3.0,2681.0
2023-12-01 01:00:00,1.0,1.0,3.0,0.0,3.0,2681.0
2023-12-01 01:05:00,1.0,1.0,1.0,0.0,3.0,2681.0
2023-12-01 01:10:00,1.0,1.0,1.0,0.0,3.0,2682.0
2023-12-01 01:15:00,1.0,1.0,1.0,0.0,3.0,2682.0
2023-12-01 01:20:00,1.0,1.0,1.0,1.0,5.0,2682.0
2023-12-01 01:25:00,1.0,1.0,1.0,0.0,5.0,2681.0
2023-12-01 01:30:00,1.0,1.0,1.0,0.0,5.0,2682.0
2023-12-01 01:35:00,1.0,1.0,1.0,1.0,5.0,2682.0
2023-12-01 01:40:00,1.0,1.0,1.0,0.0,5.0,2681.0
2023-12-01 01:45:00,1.0,1.0,1.0,1.0,5.0,2681.0
2023-12-01 01:50:00,1.0,1.0,1.0,0.0,5.0,2680.0
2023-12-01 01:55:00,1.0,1.0,1.0,0.0,6.0,2680.0
2023-12-01 02:00:00,1.0,1.0,1.0,0.0,7.0,2680.0
2023-12-01 02:05:00,1.0,1.0,1.0,0.0,7.0,2680.0
2023-12-01 02:10:00,1.0,1.0,1.0,0.0,9.0,2680.0
2023-12-01 02:15:00,1.0,1.0,1.0,2.0,9.0,2680.0
2023-12-01 02:20:00,2.0,1.0,1.0,1.0,8.0,2679.0
2023-12-01 02:25:00,1.0,2.0,1.0,0.0,7.0,2678.0
2023-12-01 02:30:00,1.0,1.0,2.0,0.0,8.0,2680.0
2023-12-01 02:35:00,1.0,1.0,1.0,1.0,8.0,2680.0
2023-12-01 02:40:00,1.0,1.0,1.0,0.0,8.0,2679.0
2023-12-01 02:45:00,1.0,1.0,1.0,1.0,8.0,2679.0
2023-12-01 02:50:00,1.0,1.0,1.0,1.0,7.0,2678.0
2023-12-01 02:55:00,1.0,1.0,1.0,1.0,6.0,2677.0
2023-12-01 03:00:00,1.0,1.0,1.0,0.0,5.0,2676.0
2023-12-01 03:05:00,1.0,1.0,1.0,2.0,6.0,2676.0
2023-12-01 03:10:00,2.0,1.0,1.0,0.0,5.0,2674.0
2023-12-01 03:15:00,1.0,2.0,1.0,1.0,6.0,2674.0
2023-12-01 03:20:00,1.0,1.0,2.0,0.0,6.0,2673.0
2023-12-01 03:25:00,1.0,1.0,1.0,1.0,6.0,2673.0
2023-12-01 03:30:00,1.0,1.0,1.0,0.0,5.0,2672.0
2023-12-01 03:35:00,1.0,1.0,1.0,1.0,6.0,2672.0
2023-12-01 03:40:00,1.0,1.0,1.0,0.0,6.0,2671.0
2023-12-01 03:45:00,1.0,1.0,1.0,0.0,6.0,2671.0
2023-12-01 03:50:00,1.0,1.0,1.0,0.0,6.0,2673.0
2023-12-01 03:55:00,1.0,1.0,1.0,0.0,7.0,2673.0
2023-12-01 04:00:00,1.0,1.0,1.0,1.0,8.0,2673.0
2023-12-01 04:05:00,1.0,1.0,1.0,1.0,8.0,2673.0
2023-12-01 04:10:00,1.0,1.0,1.0,1.0,8.0,2672.0
2023-12-01 04:15:00,1.0,1.0,1.0,1.0,10.0,2671.0
2023-12-01 04:20:00,1.0,1.0,1.0,0.0,10.0,2672.0
2023-12-01 04:25:00,1.0,1.0,1.0,0.0,10.0,2672.0
2023-12-01 04:30:00,1.0,1.0,1.0,1.0,11.0,2672.0
