Date,Open,High,Close,Target_5min,Target_1hour,Target_1day
2023-12-01 10:50:00,13.0,8.0,6.0,11.0,110.0,2781.0
2023-12-01 10:55:00,11.0,13.0,8.0,7.0,104.0,2785.0
2023-12-01 11:00:00,7.0,11.0,13.0,5.0,103.0,2786.0
2023-12-01 11:05:00,5.0,7.0,11.0,5.0,105.0,2793.0
2023-12-01 11:10:00,5.0,5.0,7.0,10.0,106.0,2805.0
2023-12-01 11:15:00,10.0,5.0,5.0,14.0,107.0,2807.0
2023-12-01 11:20:00,14.0,10.0,5.0,11.0,108.0,2804.0
2023-12-01 11:25:00,11.0,14.0,10.0,16.0,110.0,2803.0
2023-12-01 11:30:00,16.0,11.0,14.0,7.0,105.0,2799.0
2023-12-01 11:35:00,7.0,16.0,11.0,12.0,103.0,2799.0
2023-12-01 11:40:00,12.0,7.0,16.0,8.0,103.0,2795.0
2023-12-01 11:45:00,8.0,12.0,7.0,4.0,98.0,2796.0
2023-12-01 11:50:00,4.0,8.0,12.0,5.0,110.0,2798.0
2023-12-01 11:55:00,5.0,4.0,8.0,6.0,120.0,2806.0
2023-12-01 12:00:00,6.0,5.0,4.0,7.0,119.0,2813.0
2023-12-01 12:05:00,7.0,6.0,5.0,6.0,118.0,2820.0
2023-12-01 12:10:00,6.0,7.0,6.0,11.0,117.0,2826.0
2023-12-01 12:15:00,11.0,6.0,7.0,15.0,115.0,2831.0
2023-12-01 12:20:00,15.0,11.0,6.0,13.0,117.0,2818.0
2023-12-01 12:25:00,13.0,15.0,11.0,11.0,114.0,2821.0
2023-12-01 12:30:00,11.0,13.0,15.0,5.0,119.0,2822.0
2023-12-01 12:35:00,5.0,11.0,13.0,12.0,130.0,2829.0
2023-12-01 12:40:00,12.0,5.0,11.0,3.0,123.0,2825.0
2023-12-01 12:45:00,3.0,12.0,5.0,16.0,137.0,2833.0
2023-12-01 12:50:00,16.0,3.0,12.0,15.0,134.0,2832.0
2023-12-01 12:55:00,15.0,16.0,3.0,5.0,132.0,2828.0
2023-12-01 13:00:00,5.0,15.0,16.0,6.0,146.0,2832.0
2023-12-01 13:05:00,6.0,5.0,15.0,5.0,164.0,2834.0
2023-12-01 13:10:00,5.0,6.0,5.0,9.0,168.0,2843.0
2023-12-01 13:15:00,9.0,5.0,6.0,17.0,169.0,2842.0
2023-12-01 13:20:00,17.0,9.0,5.0,10.0,163.0,2837.0
2023-12-01 13:25:00,10.0,17.0,9.0,16.0,153.0,2838.0
2023-12-01 13:30:00,16.0,10.0,17.0,16.0,137.0,2829.0
2023-12-01 13:35:00,16.0,16.0,10.0,5.0,131.0,2825.0
2023-12-01 13:40:00,5.0,16.0,16.0,17.0,145.0,2842.0
2023-12-01 13:45:00,17.0,5.0,16.0,13.0,146.0,2839.0
2023-12-01 13:50:00,13.0,17.0,5.0,13.0,149.0,2836.0
2023-12-01 13:55:00,13.0,13.0,17.0,19.0,161.0,2837.0
2023-12-01 14:00:00,19.0,13.0,13.0,24.0,155.0,2824.0
2023-12-01 14:05:00,24.0,19.0,13.0,9.0,149.0,2810.0
2023-12-01 14:10:00,9.0,24.0,19.0,10.0,169.0,2823.0
2023-12-01 14:15:00,10.0,9.0,24.0,11.0,174.0,2831.0
2023-12-01 14:20:00,11.0,10.0,9.0,0.0,192.0,2843.0
2023-12-01 14:25:00,1.0,11.0,10.0,0.0,207.0,2855.0
2023-12-01 14:30:00,1.0,1.0,11.0,10.0,232.0,2874.0
2023-12-01 14:35:00,10.0,1.0,1.0,19.0,245.0,2885.0
2023-12-01 14:40:00,19.0,10.0,1.0,18.0,245.0,2882.0
2023-12-01 14:45:00,18.0,19.0,10.0,16.0,244.0,2889.0
2023-12-01 14:50:00,16.0,18.0,19.0,25.0,254.0,2893.0
2023-12-01 14:55:00,25.0,16.0,18.0,13.0,255.0,2889.0
2023-12-01 15:00:00,13.0,25.0,16.0,18.0,265.0,2904.0
2023-12-01 15:05:00,18.0,13.0,25.0,29.0,266.0,2908.0
2023-12-01 15:10:00,29.0,18.0,13.0,15.0,251.0,2895.0
2023-12-01 15:15:00,15.0,29.0,18.0,29.0,263.0,2900.0
2023-12-01 15:20:00,29.0,15.0,29.0,15.0,260.0,2895.0
2023-12-01 15:25:00,15.0,29.0,15.0,25.0,269.0,2904.0
2023-12-01 15:30:00,25.0,15.0,29.0,23.0,270.0,2906.0
2023-12-01 15:35:00,23.0,25.0,15.0,19.0,267.0,2904.0
2023-12-01 15:40:00,19.0,23.0,25.0,17.0,267.0,2904.0
2023-12-01 15:45:00,17.0,19.0,23.0,26.0,275.0,2907.0
2023-12-01 15:50:00,26.0,17.0,19.0,26.0,282.0,2895.0
2023-12-01 15:55:00,26.0,26.0,17.0,23.0,283.0,2893.0
2023-12-01 16:00:00,23.0,26.0,26.0,19.0,298.0,2892.0
2023-12-01 16:05:00,19.0,23.0,26.0,14.0,322.0,2904.0
2023-12-01 16:10:00,14.0,19.0,23.0,27.0,346.0,2925.0
2023-12-01 16:15:00,27.0,14.0,19.0,26.0,340.0,2912.0
2023-12-01 16:20:00,26.0,27.0,14.0,24.0,335.0,2907.0
2023-12-01 16:25:00,24.0,26.0,27.0,26.0,320.0,2897.0
2023-12-01 16:30:00,26.0,24.0,26.0,20.0,322.0,2901.0
2023-12-01 16:35:00,20.0,26.0,24.0,19.0,320.0,2903.0
2023-12-01 16:40:00,19.0,20.0,26.0,25.0,322.0,2908.0
2023-12-01 16:45:00,25.0,19.0,20.0,33.0,334.0,2899.0
2023-12-01 16:50:00,33.0,25.0,19.0,27.0,320.0,2892.0
2023-12-01 16:55:00,27.0,33.0,25.0,38.0,331.0,2891.0
2023-12-01 17:00:00,38.0,27.0,33.0,43.0,322.0,2891.0
2023-12-01 17:05:00,43.0,38.0,27.0,38.0,309.0,2886.0
2023-12-01 17:10:00,38.0,43.0,38.0,21.0,303.0,2868.0
2023-12-01 17:15:00,21.0,38.0,43.0,21.0,305.0,2872.0
2023-12-01 17:20:00,21.0,21.0,38.0,9.0,310.0,2877.0
2023-12-01 17:25:00,9.0,21.0,21.0,28.0,308.0,2886.0
2023-12-01 17:30:00,28.0,9.0,21.0,18.0,311.0,2888.0
2023-12-01 17:35:00,18.0,28.0,9.0,21.0,315.0,2897.0
2023-12-01 17:40:00,21.0,18.0,28.0,37.0,315.0,2913.0
2023-12-01 17:45:00,37.0,21.0,18.0,19.0,290.0,2898.0
2023-12-01 17:50:00,19.0,37.0,21.0,38.0,288.0,2906.0
2023-12-01 17:55:00,38.0,19.0,37.0,29.0,271.0,2899.0
2023-12-01 18:00:00,29.0,38.0,19.0,30.0,256.0,2894.0
2023-12-01 18:05:00,30.0,29.0,38.0,32.0,242.0,2908.0
2023-12-01 18:10:00,32.0,30.0,29.0,23.0,210.0,2916.0
2023-12-01 18:15:00,23.0,32.0,30.0,26.0,187.0,2912.0
2023-12-01 18:20:00,26.0,23.0,32.0,7.0,170.0,2902.0
2023-12-01 18:25:00,7.0,26.0,23.0,31.0,178.0,2926.0
2023-12-01 18:30:00,31.0,7.0,26.0,22.0,159.0,2909.0
2023-12-01 18:35:00,22.0,31.0,7.0,21.0,154.0,2904.0
2023-12-01 18:40:00,21.0,22.0,31.0,12.0,133.0,2912.0
2023-12-01 18:45:00,12.0,21.0,22.0,17.0,121.0,2918.0
2023-12-01 18:50:00,17.0,12.0,21.0,21.0,104.0,2923.0
2023-12-01 18:55:00,21.0,17.0,12.0,14.0,102.0,2915.0
2023-12-01 19:00:00,14.0,21.0,17.0,16.0,102.0,2928.0
2023-12-01 19:05:00,16.0,14.0,21.0,0.0,94.0,2925.0
2023-12-01 19:10:00,1.0,16.0,14.0,0.0,107.0,2943.0
2023-12-01 19:15:00,1.0,1.0,16.0,9.0,129.0,2957.0
2023-12-01 19:20:00,9.0,1.0,1.0,15.0,125.0,2958.0
2023-12-01 19:25:00,15.0,9.0,1.0,12.0,110.0,2957.0
2023-12-01 19:30:00,12.0,15.0,9.0,17.0,105.0,2961.0
2023-12-01 19:35:00,17.0,12.0,15.0,0.0,95.0,2956.0
2023-12-01 19:40:00,1.0,17.0,12.0,0.0,95.0,2987.0
2023-12-01 19:45:00,1.0,1.0,17.0,0.0,98.0,3015.0
2023-12-01 19:50:00,1.0,1.0,1.0,19.0,110.0,3032.0
2023-12-01 19:55:00,19.0,1.0,1.0,14.0,101.0,3029.0
2023-12-01 20:00:00,14.0,19.0,1.0,8.0,92.0,3021.0
2023-12-01 20:05:00,8.0,14.0,19.0,13.0,98.0,3038.0
2023-12-01 20:10:00,13.0,8.0,14.0,22.0,92.0,3058.0
2023-12-01 20:15:00,22.0,13.0,8.0,5.0,76.0,3055.0
2023-12-01 20:20:00,5.0,22.0,13.0,0.0,76.0,3061.0
2023-12-01 20:25:00,1.0,5.0,22.0,7.0,85.0,3066.0
2023-12-01 20:30:00,7.0,1.0,5.0,7.0,88.0,3066.0
2023-12-01 20:35:00,7.0,7.0,1.0,0.0,86.0,3067.0
2023-12-01 20:40:00,1.0,7.0,7.0,3.0,95.0,3083.0
2023-12-01 20:45:00,3.0,1.0,7.0,12.0,97.0,3088.0
2023-12-01 20:50:00,12.0,3.0,1.0,10.0,90.0,3091.0
2023-12-01 20:55:00,10.0,12.0,3.0,5.0,88.0,3094.0
2023-12-01 21:00:00,5.0,10.0,12.0,14.0,90.0,3105.0
2023-12-01 21:05:00,14.0,5.0,10.0,7.0,82.0,3097.0
2023-12-01 21:10:00,7.0,14.0,5.0,6.0,79.0,3099.0
2023-12-01 21:15:00,6.0,7.0,14.0,5.0,76.0,3101.0
2023-12-01 21:20:00,5.0,6.0,7.0,9.0,81.0,3110.0
2023-12-01 21:25:00,9.0,5.0,6.0,10.0,77.0,3114.0
2023-12-01 21:30:00,10.0,9.0,5.0,5.0,71.0,3115.0
2023-12-01 21:35:00,5.0,10.0,9.0,9.0,68.0,3122.0
2023-12-01 21:40:00,9.0,5.0,10.0,5.0,62.0,3125.0
2023-12-01 21:45:00,5.0,9.0,5.0,5.0,60.0,3131.0
2023-12-01 21:50:00,5.0,5.0,9.0,8.0,59.0,3133.0
2023-12-01 21:55:00,8.0,5.0,5.0,7.0,54.0,3133.0
