Date,Open,High,Close,Target_5min,Target_1hour,Target_1day
2023-12-01 00:10:00,3.0,5.0,4.0,2.0,49.0,4204.0
2023-12-01 00:15:00,2.0,3.0,5.0,6.0,48.0,4209.0
2023-12-01 00:20:00,6.0,2.0,3.0,5.0,46.0,4210.0
2023-12-01 00:25:00,5.0,6.0,2.0,2.0,42.0,4209.0
2023-12-01 00:30:00,2.0,5.0,6.0,4.0,44.0,4213.0
2023-12-01 00:35:00,4.0,2.0,5.0,4.0,41.0,4214.0
2023-12-01 00:40:00,4.0,4.0,2.0,7.0,40.0,4216.0
2023-12-01 00:45:00,7.0,4.0,4.0,4.0,35.0,4212.0
2023-12-01 00:50:00,4.0,7.0,4.0,8.0,38.0,4211.0
2023-12-01 00:55:00,8.0,4.0,7.0,1.0,34.0,4208.0
2023-12-01 01:00:00,1.0,8.0,4.0,1.0,35.0,4212.0
2023-12-01 01:05:00,1.0,1.0,8.0,5.0,37.0,4213.0
2023-12-01 01:10:00,5.0,1.0,1.0,1.0,33.0,4211.0
2023-12-01 01:15:00,1.0,5.0,1.0,4.0,36.0,4213.0
2023-12-01 01:20:00,4.0,1.0,5.0,1.0,35.0,4213.0
2023-12-01 01:25:00,1.0,4.0,1.0,4.0,35.0,4213.0
2023-12-01 01:30:00,4.0,1.0,4.0,1.0,34.0,4212.0
2023-12-01 01:35:00,1.0,4.0,1.0,3.0,36.0,4216.0
2023-12-01 01:40:00,3.0,1.0,4.0,2.0,35.0,4214.0
2023-12-01 01:45:00,2.0,3.0,1.0,7.0,35.0,4217.0
2023-12-01 01:50:00,7.0,2.0,3.0,4.0,31.0,4211.0
2023-12-01 01:55:00,4.0,7.0,2.0,2.0,32.0,4209.0
2023-12-01 02:00:00,2.0,4.0,7.0,3.0,31.0,4208.0
2023-12-01 02:05:00,3.0,2.0,4.0,1.0,33.0,4211.0
2023-12-01 02:10:00,1.0,3.0,2.0,4.0,35.0,4211.0
2023-12-01 02:15:00,4.0,1.0,3.0,3.0,32.0,4210.0
2023-12-01 02:20:00,3.0,4.0,1.0,1.0,32.0,4208.0
2023-12-01 02:25:00,1.0,3.0,4.0,3.0,32.0,4211.0
2023-12-01 02:30:00,3.0,1.0,3.0,3.0,30.0,4209.0
2023-12-01 02:35:00,3.0,3.0,1.0,2.0,31.0,4207.0
2023-12-01 02:40:00,2.0,3.0,3.0,2.0,31.0,4207.0
2023-12-01 02:45:00,2.0,2.0,3.0,3.0,31.0,4206.0
2023-12-01 02:50:00,3.0,2.0,2.0,5.0,32.0,4204.0
2023-12-01 02:55:00,5.0,3.0,2.0,1.0,29.0,4201.0
2023-12-01 03:00:00,1.0,5.0,3.0,5.0,33.0,4205.0
2023-12-01 03:05:00,5.0,1.0,5.0,3.0,31.0,4203.0
2023-12-01 03:10:00,3.0,5.0,1.0,1.0,29.0,4202.0
2023-12-01 03:15:00,1.0,3.0,5.0,3.0,29.0,4201.0
2023-12-01 03:20:00,3.0,1.0,3.0,1.0,28.0,4200.0
2023-12-01 03:25:00,1.0,3.0,1.0,1.0,27.0,4202.0
2023-12-01 03:30:00,1.0,1.0,3.0,4.0,31.0,4204.0
2023-12-01 03:35:00,4.0,1.0,1.0,2.0,30.0,4201.0
2023-12-01 03:40:00,2.0,4.0,1.0,2.0,32.0,4200.0
2023-12-01 03:45:00,2.0,2.0,4.0,4.0,34.0,4201.0
2023-12-01 03:50:00,4.0,2.0,2.0,2.0,31.0,4199.0
2023-12-01 03:55:00,2.0,4.0,2.0,5.0,31.0,4201.0
2023-12-01 04:00:00,5.0,2.0,4.0,3.0,29.0,4198.0
2023-12-01 04:05:00,3.0,5.0,2.0,1.0,28.0,4196.0
2023-12-01 04:10:00,1.0,3.0,5.0,1.0,34.0,4197.0
2023-12-01 04:15:00,1.0,1.0,3.0,2.0,35.0,4199.0
2023-12-01 04:20:00,2.0,1.0,1.0,0.0,37.0,4198.0
2023-12-01 04:25:00,1.0,2.0,1.0,5.0,42.0,4198.0
2023-12-01 04:30:00,5.0,1.0,2.0,3.0,42.0,4196.0
2023-12-01 04:35:00,3.0,5.0,1.0,4.0,47.0,4194.0
2023-12-01 04:40:00,4.0,3.0,5.0,4.0,48.0,4192.0
2023-12-01 04:45:00,4.0,4.0,3.0,1.0,52.0,4190.0
2023-12-01 04:50:00,1.0,4.0,4.0,2.0,59.0,4189.0
2023-12-01 04:55:00,2.0,1.0,4.0,3.0,67.0,4190.0
2023-12-01 05:00:00,3.0,2.0,1.0,2.0,69.0,4192.0
2023-12-01 05:05:00,2.0,3.0,2.0,7.0,76.0,4194.0
2023-12-01 05:10:00,7.0,2.0,3.0,2.0,78.0,4189.0
2023-12-01 05:15:00,2.0,7.0,2.0,4.0,90.0,4192.0
2023-12-01 05:20:00,4.0,2.0,7.0,5.0,94.0,4190.0
2023-12-01 05:25:00,5.0,4.0,2.0,5.0,101.0,4190.0
2023-12-01 05:30:00,5.0,5.0,4.0,8.0,110.0,4186.0
2023-12-01 05:35:00,8.0,5.0,5.0,5.0,110.0,4184.0
2023-12-01 05:40:00,5.0,8.0,5.0,8.0,120.0,4183.0
2023-12-01 05:45:00,8.0,5.0,8.0,8.0,143.0,4180.0
2023-12-01 05:50:00,8.0,8.0,5.0,10.0,163.0,4180.0
2023-12-01 05:55:00,10.0,8.0,8.0,5.0,171.0,4173.0
2023-12-01 06:00:00,5.0,10.0,8.0,9.0,189.0,4174.0
2023-12-01 06:05:00,9.0,5.0,10.0,9.0,207.0,4171.0
2023-12-01 06:10:00,9.0,9.0,5.0,14.0,236.0,4171.0
2023-12-01 06:15:00,14.0,9.0,9.0,8.0,249.0,4168.0
2023-12-01 06:20:00,8.0,14.0,9.0,12.0,265.0,4170.0
2023-12-01 06:25:00,12.0,8.0,14.0,14.0,285.0,4176.0
2023-12-01 06:30:00,14.0,12.0,8.0,8.0,295.0,4167.0
2023-12-01 06:35:00,8.0,14.0,12.0,15.0,319.0,4177.0
2023-12-01 06:40:00,15.0,8.0,14.0,31.0,335.0,4180.0
2023-12-01 06:45:00,31.0,15.0,8.0,28.0,335.0,4170.0
2023-12-01 06:50:00,28.0,31.0,15.0,18.0,345.0,4167.0
2023-12-01 06:55:00,18.0,28.0,31.0,23.0,360.0,4163.0
2023-12-01 07:00:00,23.0,18.0,28.0,27.0,361.0,4158.0
2023-12-01 07:05:00,27.0,23.0,18.0,38.0,371.0,4159.0
2023-12-01 07:10:00,38.0,27.0,23.0,27.0,367.0,4140.0
2023-12-01 07:15:00,27.0,38.0,27.0,24.0,356.0,4146.0
2023-12-01 07:20:00,24.0,27.0,38.0,32.0,360.0,4143.0
2023-12-01 07:25:00,32.0,24.0,27.0,24.0,357.0,4139.0
2023-12-01 07:30:00,24.0,32.0,24.0,32.0,362.0,4145.0
2023-12-01 07:35:00,32.0,24.0,32.0,31.0,358.0,4137.0
2023-12-01 07:40:00,31.0,32.0,24.0,31.0,353.0,4137.0
2023-12-01 07:45:00,31.0,31.0,32.0,38.0,353.0,4135.0
2023-12-01 07:50:00,38.0,31.0,31.0,33.0,334.0,4128.0
2023-12-01 07:55:00,33.0,38.0,31.0,24.0,315.0,4124.0
2023-12-01 08:00:00,24.0,33.0,38.0,37.0,313.0,4118.0
2023-12-01 08:05:00,37.0,24.0,33.0,34.0,299.0,4109.0
2023-12-01 08:10:00,34.0,37.0,24.0,16.0,289.0,4095.0
2023-12-01 08:15:00,16.0,34.0,37.0,28.0,307.0,4092.0
2023-12-01 08:20:00,28.0,16.0,34.0,29.0,301.0,4091.0
2023-12-01 08:25:00,29.0,28.0,16.0,29.0,291.0,4081.0
2023-12-01 08:30:00,29.0,29.0,28.0,28.0,284.0,4066.0
2023-12-01 08:35:00,28.0,29.0,29.0,26.0,280.0,4054.0
2023-12-01 08:40:00,26.0,28.0,29.0,31.0,278.0,4044.0
2023-12-01 08:45:00,31.0,26.0,28.0,19.0,277.0,4035.0
2023-12-01 08:50:00,19.0,31.0,26.0,14.0,279.0,4039.0
2023-12-01 08:55:00,14.0,19.0,31.0,22.0,289.0,4047.0
2023-12-01 09:00:00,22.0,14.0,19.0,23.0,293.0,4048.0
2023-12-01 09:05:00,23.0,22.0,14.0,24.0,288.0,4043.0
2023-12-01 09:10:00,24.0,23.0,22.0,34.0,290.0,4050.0
2023-12-01 09:15:00,34.0,24.0,23.0,22.0,280.0,4050.0
2023-12-01 09:20:00,22.0,34.0,24.0,19.0,282.0,4058.0
2023-12-01 09:25:00,19.0,22.0,34.0,22.0,284.0,4067.0
2023-12-01 09:30:00,22.0,19.0,22.0,24.0,278.0,4078.0
2023-12-01 09:35:00,24.0,22.0,19.0,24.0,275.0,4075.0
2023-12-01 09:40:00,24.0,24.0,22.0,30.0,272.0,4079.0
2023-12-01 09:45:00,30.0,24.0,24.0,21.0,263.0,4067.0
2023-12-01 09:50:00,21.0,30.0,24.0,24.0,268.0,4076.0
2023-12-01 09:55:00,24.0,21.0,30.0,26.0,267.0,4084.0
2023-12-01 10:00:00,26.0,24.0,21.0,18.0,256.0,4083.0
2023-12-01 10:05:00,18.0,26.0,24.0,26.0,267.0,4093.0
2023-12-01 10:10:00,26.0,18.0,26.0,24.0,258.0,4092.0
2023-12-01 10:15:00,24.0,26.0,18.0,24.0,254.0,4089.0
2023-12-01 10:20:00,24.0,24.0,26.0,21.0,257.0,4093.0
2023-12-01 10:25:00,21.0,24.0,24.0,16.0,255.0,4087.0
2023-12-01 10:30:00,16.0,21.0,24.0,21.0,266.0,4091.0
2023-12-01 10:35:00,21.0,16.0,21.0,21.0,270.0,4098.0
2023-12-01 10:40:00,21.0,21.0,16.0,21.0,267.0,4101.0
2023-12-01 10:45:00,21.0,21.0,21.0,26.0,268.0,4108.0
2023-12-01 10:50:00,26.0,21.0,21.0,23.0,263.0,4104.0
2023-12-01 10:55:00,23.0,26.0,21.0,15.0,266.0,4102.0
2023-12-01 11:00:00,15.0,23.0,26.0,29.0,276.0,4105.0
2023-12-01 11:05:00,29.0,15.0,23.0,17.0,274.0,4093.0
2023-12-01 11:10:00,17.0,29.0,15.0,20.0,278.0,4102.0
2023-12-01 11:15:00,20.0,17.0,29.0,27.0,275.0,4109.0
2023-12-01 11:20:00,27.0,20.0,17.0,19.0,277.0,4108.0
2023-12-01 11:25:00,19.0,27.0,20.0,27.0,280.0,4110.0
2023-12-01 11:30:00,27.0,19.0,27.0,25.0,266.0,4109.0
2023-12-01 11:35:00,25.0,27.0,19.0,18.0,266.0,4107.0
2023-12-01 11:40:00,18.0,25.0,27.0,22.0,265.0,4112.0
2023-12-01 11:45:00,22.0,18.0,25.0,21.0,258.0,4115.0
2023-12-01 11:50:00,21.0,22.0,18.0,26.0,268.0,4120.0
2023-12-01 11:55:00,26.0,21.0,22.0,25.0,267.0,4113.0
2023-12-01 12:00:00,25.0,26.0,21.0,27.0,278.0,4110.0
2023-12-01 12:05:00,27.0,25.0,26.0,21.0,277.0,4108.0
2023-12-01 12:10:00,21.0,27.0,25.0,17.0,276.0,4114.0
2023-12-01 12:15:00,17.0,21.0,27.0,29.0,282.0,4117.0
2023-12-01 12:20:00,29.0,17.0,21.0,22.0,271.0,4113.0
2023-12-01 12:25:00,22.0,29.0,17.0,13.0,277.0,4122.0
2023-12-01 12:30:00,13.0,22.0,29.0,25.0,288.0,4134.0
2023-12-01 12:35:00,25.0,13.0,22.0,17.0,287.0,4128.0
2023-12-01 12:40:00,17.0,25.0,13.0,15.0,299.0,4132.0
2023-12-01 12:45:00,15.0,17.0,25.0,31.0,311.0,4138.0
2023-12-01 12:50:00,31.0,15.0,17.0,25.0,310.0,4128.0
2023-12-01 12:55:00,25.0,31.0,15.0,36.0,317.0,4131.0
2023-12-01 13:00:00,36.0,25.0,31.0,26.0,304.0,4123.0
2023-12-01 13:05:00,26.0,36.0,25.0,20.0,300.0,4119.0
2023-12-01 13:10:00,20.0,26.0,36.0,23.0,307.0,4124.0
2023-12-01 13:15:00,23.0,20.0,26.0,18.0,313.0,4123.0
