GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
320300108854425145,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-09 00:00:32,1702051232000,未知,未知,京JE1***,未知
320300108854425700,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:00:47,1702051247000,01,大型汽车,豫J97***,未知
320300108854425594,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:00:51,1702051251000,02,小型汽车,苏C08***,未知
320300108854425609,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:01:02,1702051262000,01,大型汽车,鲁QV6***,未知
320300108854425761,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-09 00:01:05,1702051265000,01,大型汽车,鲁MCN***,奥赛
320300108854425905,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-09 00:01:17,1702051277000,01,大型汽车,鲁PJ1***,哈飞
320300108854425925,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:01:20,1702051280000,01,大型汽车,鲁Q69***,福特
320300108854425990,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:01:22,1702051282000,02,小型汽车,苏BC5***,宝骏
320300108854426101,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:01:33,1702051293000,01,大型汽车,鲁Q70***,福田
320300108854426191,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:01:38,1702051298000,01,大型汽车,皖L91***,夏利
320300108854426242,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:01:42,1702051302000,01,大型汽车,鲁QS5***,一汽
320300108854426308,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:01:43,1702051303000,01,大型汽车,鲁Q26***,宝骏
320300108854426415,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-09 00:01:48,1702051308000,01,大型汽车,苏CHB***,未知
320300108854426574,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:00,1702051320000,01,大型汽车,鲁Q88***,未知
320300108854426682,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:04,1702051324000,01,大型汽车,苏CDH***,福田
320300108854426737,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:02:07,1702051327000,02,小型汽车,苏C3L***,本田
320300108854426715,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:07,1702051327000,01,大型汽车,鲁Q97***,长城
320300108854426827,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:14,1702051334000,01,大型汽车,鲁Q73***,福田
320300108854427017,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:27,1702051347000,01,大型汽车,皖SD2***,福田
320300108854427167,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-09 00:02:34,1702051354000,02,小型汽车,苏CB9***,未知
320300108854427188,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:39,1702051359000,01,大型汽车,鲁RL4***,福田
320300108854427335,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:47,1702051367000,01,大型汽车,苏CTX***,福田
320300108854427465,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:53,1702051373000,01,大型汽车,鲁UT7***,福特
320300108854427558,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:02:58,1702051378000,01,大型汽车,苏CKT***,夏利
320300108854428133,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:03:15,1702051395000,02,小型汽车,鲁D99***,江淮
320300108854427995,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-09 00:03:17,1702051397000,02,小型汽车,苏CK7***,海马
320300108854428623,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:03:43,1702051423000,02,小型汽车,鲁R8X***,大众
320300108854428452,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-09 00:03:50,1702051430000,01,大型汽车,豫JC2***,未知
320300108854428491,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:03:51,1702051431000,01,大型汽车,鲁DH3***,美亚
320300108854428751,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:03:53,1702051433000,02,小型汽车,苏CY8***,别克
320300108854428758,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:03:54,1702051434000,02,小型汽车,苏CY8***,马自达
320300108854428737,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:04:02,1702051442000,02,小型汽车,苏NL3***,别克
320300108854429589,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:05:02,1702051502000,01,大型汽车,鲁Q38***,福特
320300108854429836,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:05:10,1702051510000,01,大型汽车,皖LD6***,江淮
320300108854430234,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:05:41,1702051541000,02,小型汽车,苏C08***,东风
320300108854430311,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:05:42,1702051542000,01,大型汽车,鲁Q11***,未知
320300108854430648,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:06:01,1702051561000,52,教练车,苏CD8***,起亚
320300108854430673,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:06:05,1702051565000,52,教练车,苏CDF***,起亚
320300108854430771,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:06:10,1702051570000,01,大型汽车,鲁Q12***,一汽
320300108854430877,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:06:11,1702051571000,52,教练车,苏ND0***,宝马
320300108854430880,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-09 00:06:12,1702051572000,02,小型汽车,苏GV9***,大众
320300108854430881,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:06:14,1702051574000,52,教练车,苏HDB***,一汽
320300108854431176,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:06:31,1702051591000,01,大型汽车,辽GK6***,一汽
320300108854431227,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-09 00:06:37,1702051597000,02,小型汽车,苏CB2***,未知
320300108854431231,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:06:40,1702051600000,未知,未知,鲁Q39***,一汽
320300108854431493,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:06:42,1702051602000,01,大型汽车,皖KW6***,福田
320300108854431595,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:07:07,1702051627000,01,大型汽车,鲁Q82***,福田
320300108854431932,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:07:14,1702051634000,02,小型汽车,皖SXV***,未知
320300108854431759,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:07:16,1702051636000,01,大型汽车,苏CLR***,未知
320300108854431997,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-09 00:07:20,1702051640000,02,小型汽车,苏CZ2***,长城
320300108854431897,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:07:21,1702051641000,01,大型汽车,鲁Q15***,沃尔沃
320300108854432049,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:07:31,1702051651000,01,大型汽车,皖SB6***,天马
320300108854432643,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:08:03,1702051683000,01,大型汽车,鲁Q86***,福田
320300108854433017,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:08:28,1702051708000,01,大型汽车,鲁Q97***,汉江
320300108854433589,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:08:44,1702051724000,01,大型汽车,鲁PAU***,标致
320300108854433676,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-09 00:08:49,1702051729000,02,小型汽车,苏C2F***,江淮
320300108854433564,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:08:54,1702051734000,02,小型汽车,苏CG1***,别克
320300108854433503,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:08:54,1702051734000,02,小型汽车,苏C3A***,起亚
320300108854433897,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:09:01,1702051741000,01,大型汽车,鲁RM4***,江淮
320300108854433937,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:09:05,1702051745000,02,小型汽车,鲁R6K***,兰驼
320300108854433989,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:09:26,1702051766000,02,小型汽车,苏C2C***,捷豹
320300108854434342,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:09:47,1702051787000,01,大型汽车,苏C3T***,江铃
320300108854434543,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:09:54,1702051794000,02,小型汽车,苏N77***,吉利
320300108854434455,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:09:55,1702051795000,01,大型汽车,皖L92***,一汽
320300108854434634,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-09 00:10:01,1702051801000,02,小型汽车,皖LD5***,未知
320300108854434983,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:10:20,1702051820000,01,大型汽车,苏CMK***,未知
320300108854435352,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-09 00:10:45,1702051845000,02,小型汽车,鲁GJZ***,大众
320300108854435823,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:10:55,1702051855000,01,大型汽车,鲁RK9***,一汽
320300108854435833,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:10:55,1702051855000,01,大型汽车,鲁RK9***,一汽
320300108854435956,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-09 00:11:00,1702051860000,02,小型汽车,鲁RX9***,荣威
320300108854436281,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:11:21,1702051881000,01,大型汽车,豫J96***,夏利
320300108854436267,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:11:22,1702051882000,01,大型汽车,豫J96***,一汽
320300108854436167,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:11:32,1702051892000,01,大型汽车,苏A9D***,一汽
320300108854436314,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:11:38,1702051898000,02,小型汽车,苏CH0***,传祺
320300108854436955,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:12:13,1702051933000,01,大型汽车,苏CHZ***,吉利
320300108854436856,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:12:16,1702051936000,02,小型汽车,苏CQ9***,宝马
320300108854437197,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-09 00:12:33,1702051953000,未知,未知,京AX9***,未知
320300108854437290,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:12:37,1702051957000,01,大型汽车,苏CJH***,未知
320300108854438278,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:13:28,1702052008000,01,大型汽车,鲁Q91***,福田
320300108854438203,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-09 00:13:29,1702052009000,02,小型汽车,苏GC1***,大众
320300108854438229,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:13:31,1702052011000,02,小型汽车,苏C26***,日产
320300108854438470,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:13:41,1702052021000,01,大型汽车,鲁Q10***,一汽
320300108854438727,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:13:44,1702052024000,02,小型汽车,鲁HA1***,福田
320300108854438722,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:13:44,1702052024000,02,小型汽车,鲁HA1***,福田
320300108854438580,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:13:52,1702052032000,02,小型汽车,苏CK3***,本田
320300108854439055,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:14:16,1702052056000,02,小型汽车,苏CX0***,雪佛兰
320300108854438989,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:14:19,1702052059000,02,小型汽车,苏CR3***,本田
320300108854439335,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:14:36,1702052076000,01,大型汽车,苏A1D***,一汽
320300108854439668,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:14:44,1702052084000,02,小型汽车,鲁HA9***,未知
320300108854439679,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:14:44,1702052084000,02,小型汽车,鲁HA9***,未知
320300108854439798,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:15:09,1702052109000,02,小型汽车,苏C33***,北京
320300108854440206,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:15:13,1702052113000,02,小型汽车,鲁A0Y***,本田
320300108854440195,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:15:13,1702052113000,02,小型汽车,鲁A0Y***,本田
320300108854439958,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:15:14,1702052114000,01,大型汽车,苏E6K***,未知
320300108854439899,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:15:15,1702052115000,52,教练车,苏CDP***,众泰
320300108854440204,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-09 00:15:25,1702052125000,02,小型汽车,浙BD2***,魏派
320300108854440162,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:15:29,1702052129000,02,小型汽车,苏CR3***,福田
320300108854440492,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:15:32,1702052132000,02,小型汽车,苏CS7***,别克
320300108854440474,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:15:32,1702052132000,02,小型汽车,苏CS7***,别克
320300108854440767,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-09 00:16:09,1702052169000,01,大型汽车,苏GC6***,未知
320300108854441145,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:16:14,1702052174000,01,大型汽车,鲁PX7***,宝马
320300108854440920,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:16:14,1702052174000,02,小型汽车,苏CK8***,大众
320300108854441157,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:16:14,1702052174000,01,大型汽车,鲁PX7***,一汽
320300108854441432,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:16:44,1702052204000,02,小型汽车,苏CM7***,大众
320300108854441560,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-09 00:16:57,1702052217000,02,小型汽车,鲁DC8***,未知
320300108854441581,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:17:00,1702052220000,02,小型汽车,苏C73***,未知
320300108854441668,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:17:06,1702052226000,52,教练车,苏CDQ***,吉利
320300108854441718,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:17:08,1702052228000,01,大型汽车,鲁DK3***,福田
320300108854442121,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:17:11,1702052231000,01,大型汽车,苏CLA***,未知
320300108854442106,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:17:11,1702052231000,01,大型汽车,苏CLA***,胜利
320300108854441796,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:17:15,1702052235000,01,大型汽车,鲁Q81***,福田
320300108854441989,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:17:16,1702052236000,01,大型汽车,鲁GAT***,福田
320300108854442422,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:17:38,1702052258000,01,大型汽车,苏ELD***,未知
320300108854442395,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-09 00:17:40,1702052260000,13,外籍汽车,京AEC***,福田
320300108854442473,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-09 00:17:54,1702052274000,02,小型汽车,苏CQ5***,丰田
320300108854442508,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:17:57,1702052277000,01,大型汽车,皖LE7***,汉江
320300108854442662,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:18:01,1702052281000,01,大型汽车,苏CQS***,福田
320300108854442985,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:18:05,1702052285000,01,大型汽车,鲁H70***,未知
320300108854443000,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:18:05,1702052285000,01,大型汽车,鲁H70***,未知
320300108854442725,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:18:06,1702052286000,01,大型汽车,苏NGB***,一汽
320300108854442729,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:18:07,1702052287000,02,小型汽车,豫NV6***,奥迪
320300108854443144,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:18:13,1702052293000,01,大型汽车,豫EM8***,昌河
320300108854442907,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:18,1702052298000,01,大型汽车,鲁H06***,猎豹
320300108854442964,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:23,1702052303000,01,大型汽车,鲁Q83***,宝马
320300108854443035,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:27,1702052307000,01,大型汽车,苏CLS***,一汽
320300108854443135,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:32,1702052312000,01,大型汽车,鲁Q21***,未知
320300108854443191,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:37,1702052317000,01,大型汽车,豫PN7***,一汽
320300108854443248,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-09 00:18:41,1702052321000,01,大型汽车,鲁Q0F***,未知
320300108854444126,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-09 00:19:37,1702052377000,02,小型汽车,苏N61***,宝马
320300108854444223,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2023-12-09 00:19:39,1702052379000,02,小型汽车,苏C9C***,日产
320300108854444265,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2023-12-09 00:19:40,1702052380000,02,小型汽车,鲁DQX***,大众
320300108854444556,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-09 00:19:47,1702052387000,02,小型汽车,苏C6V***,未知
320300108854444274,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-09 00:19:47,1702052387000,01,大型汽车,苏CLJ***,未知
