GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109072110340,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 00:00:13,1704470413000,2,小型汽车,豫J83***,北京
G320300109072111333,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 00:00:51,1704470451000,2,小型汽车,鲁S53***,汇众
G320300109072111322,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 00:00:51,1704470451000,2,小型汽车,鲁S53***,汇众
G320300109072111046,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-06 00:01:12,1704470472000,2,小型汽车,鲁HB8***,宝马
G320300109072111198,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-06 00:01:12,1704470472000,52,教练车,苏NDA***,猎豹
G320300109072113467,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 00:02:52,1704470572000,1,大型汽车,苏CNR***,一汽
G320300109072113817,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 00:03:08,1704470588000,1,大型汽车,鲁Q78***,福田
G320300109072113917,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-06 00:03:12,1704470592000,2,小型汽车,鲁Q0G***,江淮
G320300109072114894,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 00:03:25,1704470605000,1,大型汽车,鲁Q72***,未知
G320300109072114988,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-06 00:03:25,1704470605000,1,大型汽车,鲁Q72***,未知
