GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
G320300109261382990,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 00:00:06,1706198406000,01,大型汽车,苏NDS***,江淮
G320300109261383085,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:00:07,1706198407000,02,小型汽车,苏CN3***,比亚迪
G320300109261383318,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 00:00:21,1706198421000,01,大型汽车,苏CST***,五菱
G320300109261383500,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 00:00:29,1706198429000,01,大型汽车,豫HU3***,一汽
G320300109261383732,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-26 00:00:31,1706198431000,51,挂车,冀ACV***,一汽
G320300109261383503,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 00:00:32,1706198432000,02,小型汽车,苏C6K***,未知
G320300109261383654,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:00:35,1706198435000,01,大型汽车,鲁Q31***,福田
G320300109261383798,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:00:42,1706198442000,01,大型汽车,鲁EG8***,奥迪
G320300109261384093,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-26 00:00:53,1706198453000,02,小型汽车,苏C39***,长城
G320300109261384050,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:00:54,1706198454000,01,大型汽车,豫JC0***,福田
G320300109261384316,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:01:05,1706198465000,01,大型汽车,沪EK7***,福田
G320300109261384443,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-26 00:01:11,1706198471000,02,小型汽车,苏C88***,长安
G320300109261385997,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-26 00:02:15,1706198535000,02,小型汽车,苏CV7***,未知
G320300109261386101,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:02:15,1706198535000,02,小型汽车,苏N72***,大众
G320300109261386659,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-26 00:02:27,1706198547000,02,小型汽车,苏C37***,未知
G320300109261386530,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-26 00:02:36,1706198556000,02,小型汽车,鲁HU6***,一汽
G320300109261386835,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:02:51,1706198571000,01,大型汽车,冀DS9***,奥迪
G320300109261387879,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-26 00:03:04,1706198584000,01,大型汽车,鲁PN3***,未知
G320300109261388697,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:04:21,1706198661000,01,大型汽车,鲁H98***,福田
G320300109261388785,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:04:22,1706198662000,01,大型汽车,豫N50***,东风
G320300109261388946,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2024-01-26 00:04:28,1706198668000,02,小型汽车,苏C60***,大众
G320300109261388906,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:04:29,1706198669000,01,大型汽车,苏CMC***,福田
G320300109261389239,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:04:46,1706198686000,01,大型汽车,鲁Q97***,福田
G320300109261389365,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:04:51,1706198691000,01,大型汽车,鲁Q77***,福田
G320300109261389934,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-26 00:05:17,1706198717000,01,大型汽车,苏CLE***,一汽
G320300109261389958,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:05:18,1706198718000,01,大型汽车,鲁Q7E***,未知
G320300109261390510,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-26 00:05:20,1706198720000,02,小型汽车,苏C18***,奇瑞
G320300109261390355,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-26 00:05:32,1706198732000,02,小型汽车,苏CM7***,凯迪拉克
G320300109261390578,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-26 00:05:40,1706198740000,02,小型汽车,苏C9A***,宝马
G320300109261391381,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:05:53,1706198753000,01,大型汽车,苏JS5***,福田
G320300109261391245,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:05:53,1706198753000,01,大型汽车,苏JS5***,福田
G320300109261391140,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:05:53,1706198753000,01,大型汽车,苏JS5***,福田
G320300109261391207,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:05:53,1706198753000,01,大型汽车,苏JS5***,福田
G320300109261391251,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:05:53,1706198753000,01,大型汽车,苏JS5***,福田
G320300109261391436,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-26 00:06:24,1706198784000,02,小型汽车,苏CH2***,未知
G320300109261392318,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-26 00:06:42,1706198802000,02,小型汽车,鲁R6S***,标致
G320300109261392500,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 00:07:11,1706198831000,52,教练车,苏CDE***,未知
G320300109261392580,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 00:07:14,1706198834000,52,教练车,陕AF3***,福特
G320300109261392985,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-26 00:07:26,1706198846000,02,小型汽车,陕AX7***,未知
G320300109261392896,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-26 00:07:27,1706198847000,01,大型汽车,鲁Q91***,一汽
G320300109261393357,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-26 00:07:44,1706198864000,02,小型汽车,苏NR1***,大众
